#{"t_start": 1777526949.6634176, "env_id": "CartPole-v1"}
r,l,t
20.0,20,0.013759
12.0,12,0.014759
16.0,16,0.014759
25.0,25,0.01676
34.0,34,0.019314
37.0,37,0.020313
24.0,24,0.021315
32.0,32,0.023313
26.0,26,0.024314
20.0,20,0.025363
49.0,49,0.027364
27.0,27,0.028363
20.0,20,0.028363
32.0,32,0.029364
15.0,15,0.030532
24.0,24,0.031532
10.0,10,0.031532
23.0,23,0.032532
16.0,16,0.033201
39.0,39,0.035127
24.0,24,0.036127
14.0,14,0.037128
23.0,23,0.038127
35.0,35,0.039127
11.0,11,0.039127
25.0,25,0.040132
34.0,34,0.042126
26.0,26,0.042126
15.0,15,0.043132
46.0,46,0.04513
21.0,21,0.04513
26.0,26,0.0467
13.0,13,0.0467
20.0,20,0.047715
26.0,26,0.048716
15.0,15,0.049716
14.0,14,0.049716
52.0,52,0.051718
20.0,20,0.052718
17.0,17,0.052718
12.0,12,0.053717
11.0,11,0.054716
13.0,13,0.054716
58.0,58,0.398209
12.0,12,0.398209
31.0,31,0.400682
13.0,13,0.400682
10.0,10,0.400682
35.0,35,0.400682
20.0,20,0.400682
17.0,17,0.400682
27.0,27,0.400682
32.0,32,0.400682
33.0,33,0.808212
16.0,16,0.808212
35.0,35,0.808212
44.0,44,0.813695
21.0,21,0.813695
41.0,41,0.82116
65.0,65,0.827158
23.0,23,1.279851
37.0,37,1.287598
27.0,27,1.289604
17.0,17,1.291607
20.0,20,1.297616
23.0,23,1.297616
10.0,10,1.301275
10.0,10,1.302274
11.0,11,1.302648
17.0,17,1.304343
16.0,16,1.30555
24.0,24,1.306549
23.0,23,1.308549
31.0,31,1.881323
31.0,31,1.883323
26.0,26,1.885323
17.0,17,1.886323
28.0,28,1.887257
27.0,27,1.887257
16.0,16,1.887257
16.0,16,1.887257
17.0,17,1.887257
11.0,11,1.892782
18.0,18,1.893931
25.0,25,1.895931
17.0,17,2.467265
24.0,24,2.469124
29.0,29,2.469425
21.0,21,2.470928
22.0,22,2.472933
18.0,18,2.472933
46.0,46,2.475632
14.0,14,2.475632
37.0,37,2.475632
54.0,54,3.009057
41.0,41,3.013227
17.0,17,3.015226
20.0,20,3.018272
11.0,11,3.019272
14.0,14,3.020272
11.0,11,3.022272
10.0,10,3.023272
25.0,25,3.025362
12.0,12,3.02765
18.0,18,3.02765
19.0,19,3.02765
