#{"t_start": 1777535357.0277445, "env_id": "LunarLander-v3"}
r,l,t
-76.010924,89,0.04306
-180.565084,99,0.063087
-241.425859,99,0.079123
-130.148131,101,0.096278
11.610321,73,0.110876
-182.660525,111,0.147528
-126.526205,70,0.165203
-84.142127,101,0.184788
-58.813113,94,0.205425
-19.321609,74,0.219963
-188.38483,102,0.244943
-200.599793,77,0.264216
-173.683787,94,0.281987
-357.184573,116,0.300514
-113.4565,59,0.311171
-269.158446,99,0.373663
-166.030822,103,0.392943
-221.378234,86,0.407701
-154.940036,72,0.420228
-123.119133,83,0.437276
-126.168651,79,0.450823
-411.520273,117,0.469901
-292.384666,104,0.487212
-30.786657,129,0.508377
-58.586498,135,0.527621
-184.841551,76,0.541698
-270.71475,85,0.555212
-104.534388,100,0.575025
-122.259144,88,0.590771
-172.654701,86,0.603798
-256.103077,117,0.618508
-73.657158,73,0.634126
-296.201449,126,0.656307
-78.165314,60,0.662314
-346.370232,88,0.676185
-103.106025,75,0.688246
-109.439652,90,0.701108
-282.762189,120,0.724652
-134.476541,68,0.737186
-89.868359,67,0.746062
-208.3048,65,0.755084
-131.455564,132,0.773292
-129.43889,90,0.788492
-101.326544,65,0.801221
-320.737094,92,0.814861
-119.60544,123,0.834913
-440.256725,128,0.856245
-134.277482,73,0.870268
-100.289675,63,0.882803
-114.212545,94,0.89858
-121.92444,81,0.911753
-193.905621,107,0.92617
-377.205072,98,0.940623
-284.738717,116,0.958552
-107.960862,77,0.972035
-262.954601,101,0.987568
-77.131893,116,1.004205
-271.601885,126,1.023801
-145.016404,65,1.037327
-212.276371,74,1.049118
-249.306506,126,1.066629
-75.014013,59,1.077422
-98.469984,75,1.089362
-451.296686,88,1.103081
-32.5559,109,1.122227
-71.328049,81,1.134943
-127.666727,87,1.146497
-203.348598,69,1.158303
-288.498607,114,1.179996
-65.432058,60,1.188631
-86.402976,61,1.198162
-80.193873,62,1.208388
-134.206647,96,1.220443
-243.320539,65,1.230991
-68.891172,78,1.242529
-67.969293,117,1.259248
-123.729311,121,1.274789
-156.168674,123,1.29361
-106.493298,72,1.303873
-162.217662,61,1.312504
-170.861716,56,1.322551
-414.964268,97,1.338596
-346.151514,103,1.359298
-166.72368,98,1.374347
-248.131138,116,1.389066
-306.401739,78,1.400603
-282.782072,88,1.41256
-202.037745,92,1.425813
-87.351006,172,1.44916
-108.971891,67,1.459156
-151.918885,74,1.469749
-522.325163,101,1.487027
-66.23614,73,1.503028
-376.671792,89,1.517848
-99.958133,90,1.531564
-109.868748,62,1.542817
-152.650944,79,1.553314
-113.004396,74,1.565157
-184.042056,95,1.578942
-123.033696,74,1.591474
-88.467403,77,1.603293
-199.592808,79,1.61612
-232.736952,117,1.634957
-79.912784,68,1.646381
-88.728969,60,1.660386
-310.763211,97,1.677349
-244.754719,90,1.690027
-219.726862,104,1.705165
-138.596253,121,1.72241
-99.165369,65,1.733999
-115.83996,123,1.794227
60.172818,1000,2.533316
-70.91343,70,2.571899
-186.352298,108,2.652508
-26.387828,106,2.724362
-110.404619,95,2.781451
-104.345112,101,2.852065
-124.589508,90,2.906154
