#{"t_start": 1777540677.4208229, "env_id": "MiniGrid-Empty-5x5-v0"}
r,l,t
0.0,100,0.056583
0.0,100,0.086624
0.0,100,0.111178
0.0,100,0.140725
0.0,100,0.16224
0.0,100,0.185332
0.361,71,0.199861
0.0,100,0.223891
0.0,100,0.249935
0.0,100,0.271964
0.199,89,0.332084
0.694,34,0.367624
0.145,95,0.44904
0.0,100,0.545715
0.0,100,0.642849
0.0,100,0.734987
0.811,21,0.756023
0.0,100,0.854965
0.361,71,0.921017
0.0,100,1.000623
0.829,19,1.013142
0.0,100,1.110296
0.0,100,1.201771
0.0,100,1.31286
0.154,94,1.407394
0.559,49,1.447451
0.0,100,1.539614
0.469,59,1.596058
0.712,32,1.6211
0.0,100,1.717727
0.0,100,1.808961
0.0,100,1.902112
0.199,89,1.989958
0.478,58,2.0516
0.595,45,2.090675
0.0,100,2.174495
0.0,100,2.259714
0.388,68,2.314787
0.361,71,2.382912
0.208,88,2.466041
0.622,42,2.502105
0.739,29,2.529155
0.0,100,2.626724
0.199,89,2.709782
0.0,100,2.809932
0.0,100,2.903063
0.0,100,3.000847
0.244,84,3.083497
0.0,100,3.187387
0.307,77,3.270034
0.0,100,3.382845
0.451,61,3.458962
0.0,100,3.554594
0.703,33,3.591164
0.0,100,3.683833
0.199,89,3.779861
0.784,24,3.799908
0.0,100,3.897557
0.0,100,3.98766
0.694,34,4.02622
0.298,78,4.101583
0.0,100,4.19754
0.0,100,4.303727
0.0,100,4.407511
0.541,51,4.464055
0.334,74,4.530578
0.82,20,4.551618
0.37,70,4.614033
0.28,80,4.69309
0.865,15,4.707474
0.667,37,4.74005
0.892,12,4.753064
0.0,100,4.85172
0.397,67,4.919837
0.685,35,4.945864
0.595,45,4.980929
0.217,87,5.067576
0.595,45,5.108702
0.0,100,5.211612
0.802,22,5.241162
0.541,51,5.291184
0.541,51,5.343251
0.685,35,5.390328
0.19,90,5.474316
0.478,58,5.525905
0.28,80,5.612032
0.0,100,5.721772
0.0,100,5.828426
0.262,82,5.926001
0.0,100,6.019709
0.0,100,6.110267
0.46,60,6.174838
0.163,93,6.278026
0.514,54,6.328888
0.559,49,6.378978
0.766,26,6.408729
0.0,100,6.512002
0.874,14,6.526015
0.0,100,6.632961
0.118,98,6.741155
0.0,100,6.849798
0.0,100,6.950004
0.0,100,7.055964
0.0,100,7.159658
0.0,100,7.262121
0.0,100,7.356009
0.0,100,7.476728
0.127,97,7.576297
0.613,43,7.620389
0.856,16,7.637407
0.577,47,7.692983
0.757,27,7.719025
0.361,71,7.790004
0.235,85,7.87017
0.658,38,7.912854
0.658,38,7.946146
0.793,23,7.976682
0.559,49,8.02931
0.388,68,8.091127
0.451,61,8.142993
0.0,100,8.249801
0.0,100,8.361886
0.0,100,8.467793
0.0,100,8.57496
0.415,65,8.647568
0.595,45,8.689632
0.154,94,8.783986
0.91,10,8.792002
0.0,100,8.887656
0.226,86,8.976814
0.19,90,9.064966
0.451,61,9.127587
0.0,100,9.233608
0.181,91,9.321503
0.0,100,9.441762
0.0,100,9.547409
0.433,63,9.601992
0.847,17,9.616006
0.784,24,9.643055
0.0,100,9.734727
0.442,62,9.806316
0.0,100,9.91406
0.73,30,9.940631
0.0,100,10.041951
0.586,46,10.08752
0.919,9,10.096028
0.694,34,10.122582
0.0,100,10.22428
0.676,36,10.264334
0.784,24,10.292882
0.352,72,10.359001
0.469,59,10.417458
0.0,100,10.517502
0.343,73,10.582035
0.0,100,10.681916
0.541,51,10.728989
0.451,61,10.796604
0.0,100,10.909901
0.739,29,10.937454
0.0,100,11.050635
0.0,100,11.145965
0.0,100,11.237341
0.514,54,11.293925
0.433,63,11.354026
0.0,100,11.460236
0.343,73,11.545982
0.0,100,11.6519
0.0,100,11.752131
0.0,100,11.854074
0.0,100,11.957503
0.0,100,12.063662
0.793,23,12.091195
0.0,100,12.196026
0.0,100,12.289885
0.298,78,12.367511
0.0,100,12.475977
0.0,100,12.571721
0.145,95,12.673715
0.0,100,12.762885
0.559,49,12.807454
0.514,54,12.871345
0.469,59,12.926156
0.0,100,13.019826
0.0,100,13.129035
0.0,100,13.223291
0.0,100,13.327436
0.0,100,13.429614
0.0,100,13.539904
0.298,78,13.611029
0.829,19,13.631063
0.784,24,13.656094
0.0,100,13.754812
0.748,28,13.784855
0.244,84,13.873993
0.694,34,13.90754
0.0,100,14.01088
0.532,52,14.071072
0.0,100,14.175751
0.208,88,14.262362
0.0,100,14.371997
0.109,99,14.464865
0.505,55,14.524967
0.0,100,14.616226
0.0,100,14.719921
0.676,36,14.75199
0.451,61,14.821311
0.289,79,14.891988
0.487,57,14.947572
0.0,100,15.050582
0.73,30,15.079118
0.0,100,15.181741
0.613,43,15.22731
0.1,100,15.330516
0.487,57,15.390607
0.0,100,15.50988
0.0,100,15.612761
0.559,49,15.662858
0.0,100,15.76603
0.0,100,15.877748
0.0,100,15.985961
0.901,11,15.995975
0.667,37,16.033537
0.0,100,16.112693
0.0,100,16.207402
0.298,78,16.312187
0.415,65,16.380799
0.0,100,16.494253
0.703,33,16.520795
0.874,14,16.534307
0.0,100,16.634961
0.667,37,16.666001
0.0,100,16.768881
0.0,100,16.875805
0.0,100,16.979949
0.595,45,17.030033
0.712,32,17.06058
0.478,58,17.105157
0.0,100,17.207331
0.811,21,17.237392
0.0,100,17.332454
0.0,100,17.429585
0.604,44,17.485659
0.793,23,17.504838
0.0,100,17.614007
0.433,63,17.682976
0.712,32,17.710023
0.658,38,17.74409
0.0,100,17.843949
0.775,25,17.871006
0.0,100,17.975914
0.0,100,18.066086
0.0,100,18.164066
0.406,66,18.240319
0.829,19,18.259847
0.586,46,18.305907
0.694,34,18.344755
0.0,100,18.452982
0.28,80,18.535625
0.829,19,18.554654
0.0,100,18.679883
0.0,100,18.787539
0.0,100,18.889005
0.0,100,18.984961
0.0,100,19.100053
0.703,33,19.1401
0.649,39,19.183614
0.226,86,19.280641
0.442,62,19.353927
0.0,100,19.461643
0.577,47,19.508775
0.73,30,19.553862
0.595,45,19.604954
0.919,9,19.615965
0.613,43,19.666065
0.0,100,19.790983
0.676,36,19.824041
0.0,100,19.926316
0.514,54,19.987422
0.0,100,20.100338
0.829,19,20.122345
0.667,37,20.161423
0.0,100,20.271374
0.0,100,20.380197
0.541,51,20.431261
0.226,86,20.513839
0.586,46,20.572705
0.856,16,20.589707
0.361,71,20.656788
0.0,100,20.76498
0.0,100,20.870636
0.685,35,20.906752
0.0,100,21.003835
0.0,100,21.114856
0.514,54,21.17249
0.739,29,21.206515
0.0,100,21.314646
0.0,100,21.412307
0.379,69,21.487414
0.0,100,21.584023
0.892,12,21.598032
0.298,78,21.679139
0.118,98,21.803761
0.0,100,21.905095
0.496,56,21.961208
0.0,100,22.073042
0.244,84,22.166566
0.0,100,22.270639
0.0,100,22.373691
0.289,79,22.460525
0.0,100,22.573382
0.19,90,22.666657
0.0,100,22.755081
0.478,58,22.80462
0.541,51,22.851723
0.0,100,22.968467
0.748,28,22.99706
0.0,100,23.088755
0.0,100,23.175899
0.0,100,23.265948
0.181,91,23.35669
0.0,100,23.444788
0.658,38,23.488837
0.0,100,23.585835
0.0,100,23.681923
0.505,55,23.742833
0.0,100,23.856206
0.0,100,23.96185
0.0,100,24.077767
0.0,100,24.191609
0.0,100,24.30376
0.0,100,24.405676
0.784,24,24.427703
0.0,100,24.533707
0.0,100,24.634831
0.847,17,24.648857
0.0,100,24.745606
0.46,60,24.8067
0.0,100,24.914805
0.469,59,24.975023
0.0,100,25.085785
0.0,100,25.194764
0.0,100,25.297883
0.0,100,25.40458
0.0,100,25.503701
0.0,100,25.613998
0.775,25,25.639032
0.649,39,25.676572
0.406,66,25.74666
0.631,41,25.789804
0.793,23,25.81784
0.856,16,25.840874
0.604,44,25.882927
0.235,85,25.962038
0.0,100,26.083765
0.901,11,26.097779
0.0,100,26.198883
0.928,8,26.208895
0.838,18,26.227914
0.811,21,26.244979
0.829,19,26.261998
0.0,100,26.366627
0.163,93,26.462717
0.82,20,26.481731
0.892,12,26.494735
0.0,100,26.590719
0.0,100,26.694786
0.0,100,26.799687
0.0,100,26.907792
0.19,90,26.995932
0.595,45,27.039994
0.559,49,27.09758
0.0,100,27.190594
0.0,100,27.305231
0.0,100,27.419669
0.0,100,27.530957
0.0,100,27.634594
0.595,45,27.675627
0.145,95,27.778739
0.46,60,27.845343
0.0,100,27.954051
0.0,100,28.084647
0.649,39,28.129688
0.154,94,28.229912
0.0,100,28.337785
0.0,100,28.437974
0.928,8,28.445467
0.0,100,28.541546
0.577,47,28.582007
0.442,62,28.653704
0.0,100,28.778271
0.0,100,28.889096
0.0,100,28.986053
0.0,100,29.082636
0.0,100,29.19297
0.0,100,29.293643
0.0,100,29.402104
0.487,57,29.466187
0.325,75,29.543371
0.19,90,29.633794
0.721,31,29.664855
0.658,38,29.705853
0.64,40,29.751038
0.0,100,29.866658
0.0,100,29.985663
0.46,60,30.06675
0.19,90,30.2099
0.802,22,30.232894
0.0,100,30.34029
0.793,23,30.367814
0.0,100,30.479681
0.0,100,30.580797
0.388,68,30.653701
0.0,100,30.772141
0.622,42,30.822701
0.28,80,30.915783
0.0,100,31.009909
0.0,100,31.109573
0.505,55,31.174165
0.0,100,31.284079
0.0,100,31.401706
0.0,100,31.50288
0.676,36,31.54145
0.604,44,31.589802
0.0,100,31.703766
0.0,100,31.815811
0.0,100,31.925504
0.523,53,31.986075
0.343,73,32.0667
0.667,37,32.102231
0.0,100,32.198766
0.0,100,32.299914
0.0,100,32.425785
0.19,90,32.532771
0.901,11,32.546284
0.0,100,32.655014
0.0,100,32.763644
0.0,100,32.865873
0.289,79,32.957608
0.0,100,33.059287
0.766,26,33.081811
0.0,100,33.198048
0.0,100,33.296695
0.0,100,33.402637
0.0,100,33.51767
0.0,100,33.626446
0.0,100,33.72893
0.0,100,33.832583
0.0,100,33.926729
0.0,100,34.044399
0.55,50,34.100987
0.415,65,34.173083
0.469,59,34.245385
0.0,100,34.348761
0.685,35,34.382245
0.0,100,34.511939
0.0,100,34.613582
0.532,52,34.658769
0.0,100,34.773679
0.172,92,34.869264
0.0,100,34.982762
0.658,38,35.021291
0.0,100,35.134008
0.0,100,35.236126
0.0,100,35.355803
0.0,100,35.473848
0.0,100,35.587676
0.0,100,35.692021
0.0,100,35.799628
0.0,100,35.915837
0.0,100,36.018964
0.0,100,36.128526
0.0,100,36.249826
0.676,36,36.285894
0.0,100,36.386633
0.0,100,36.501769
0.0,100,36.623944
