#{"t_start": 1778253361.7515812, "env_id": "CartPole-v1"}
r,l,t
18.896241,20,0.012002
10.967002,12,0.013002
15.036537,16,0.015002
23.922967,25,0.016001
32.862766,34,0.019001
35.81207,37,0.022001
22.991357,24,0.024001
30.904818,32,0.026003
24.963686,26,0.028
18.992733,20,0.030002
47.743073,49,0.034002
25.951451,27,0.035001
18.91879,20,0.036
30.9094,32,0.038067
13.99113,15,0.038067
22.874556,24,0.040068
9.005668,10,0.040068
21.936084,23,0.041071
14.937404,16,0.04207
37.760791,39,0.044069
22.885667,24,0.04507
12.953299,14,0.046069
21.911659,23,0.04707
33.889747,35,0.048069
9.970227,11,0.048069
23.851319,25,0.049069
32.818727,34,0.050069
24.944142,26,0.051068
13.961373,15,0.05207
44.813391,46,0.054069
19.914569,21,0.054069
24.857094,26,0.055069
12.046169,13,0.05607
18.925214,20,0.05607
24.933166,26,0.05707
14.009141,15,0.058068
13.05904,14,0.058068
50.756535,52,0.060068
19.004391,20,0.061067
15.983513,17,0.062068
10.984468,12,0.062068
10.053127,11,0.063068
12.054243,13,0.064068
24.953053,26,0.442741
15.998382,17,0.443742
17.905878,19,0.445742
19.024713,20,0.447742
15.008536,16,0.448742
25.912693,27,0.451742
16.058126,17,0.456853
28.904816,30,0.458853
34.799996,36,0.460855
43.740123,45,0.463854
22.955664,24,0.791702
31.834791,33,0.792702
14.062869,15,0.793701
17.976986,19,0.794701
42.814472,44,0.796701
17.997753,19,0.797702
16.943941,18,0.798701
20.991878,22,0.799701
16.967415,18,0.800701
11.039289,12,0.801702
17.909255,19,0.802769
13.055321,14,0.803768
58.689064,60,1.184977
25.93509,27,1.186978
38.787164,40,1.190978
17.02306,18,1.192978
31.94479,33,1.194978
18.018137,19,1.196978
10.988582,12,1.197978
22.8815,24,1.198978
29.877812,31,1.201977
26.930786,28,1.715203
23.933366,25,1.718203
33.770475,35,1.722203
9.057281,10,1.723202
18.914784,20,1.725202
30.830662,32,1.727202
30.894486,32,1.731202
20.924225,22,1.733202
77.548779,79,2.338388
22.852264,24,2.339388
25.88244,27,2.341388
13.0042,14,2.341388
60.735354,62,2.351391
39.82136,41,2.355389
29.856757,31,2.357391
15.942419,17,2.358389
30.854644,32,2.95224
26.911393,28,2.95524
78.455229,80,2.96424
12.99205,14,2.96624
21.972226,23,2.96824
53.806132,55,2.975311
13.963371,15,2.97731
11.07266,12,2.978309
33.854038,35,3.513445
48.753778,50,3.517949
17.022771,18,3.520014
111.513517,113,3.529524
24.90629,26,3.530523
99.461576,101,4.072541
20.010643,21,4.074541
27.904904,29,4.077541
37.742583,39,4.081541
19.98597,21,4.083541
16.030525,17,4.08654
81.669078,83,4.615389
10.99903,12,4.616389
28.857347,30,4.620429
18.90883,20,4.622429
29.911318,31,4.626429
62.699151,64,4.633428
18.92834,20,4.636428
32.870167,34,4.639428
33.825766,35,5.225927
12.972652,14,5.227927
44.778369,46,5.237062
24.948943,26,5.240062
11.030293,12,5.242061
35.840913,37,5.246061
96.622969,98,5.259122
34.875816,36,5.857203
54.680763,56,5.860202
79.579562,81,5.865202
14.976866,16,5.866202
18.929672,20,5.867202
22.014992,23,5.869202
72.692228,74,6.268228
25.858243,27,6.272228
10.07211,11,6.273228
24.866685,26,6.275228
11.033721,12,6.277228
44.796635,46,6.283228
33.833086,35,6.287228
19.990285,21,6.289228
31.856399,33,6.292228
15.999775,17,6.839494
33.782296,35,6.843494
15.027294,16,6.845494
12.936387,14,6.846494
15.020184,16,6.848494
35.824164,37,6.852536
49.77929,51,6.858535
55.743725,57,6.864535
23.94154,25,7.513132
30.929015,32,7.517132
20.915435,22,7.519188
130.414622,132,7.537188
43.715867,45,7.542187
12.958149,14,7.544187
19.952539,21,8.140804
36.733164,38,8.143803
13.945872,15,8.144804
11.050892,12,8.144804
31.838523,33,8.147802
32.794036,34,8.149802
23.900901,25,8.150803
13.058097,14,8.151961
12.061019,13,8.152961
17.981226,19,8.154958
99.672067,101,8.678638
11.062647,12,8.68114
25.871307,27,8.684142
9.028387,10,8.684142
18.920428,20,8.69027
52.772928,54,8.693627
51.700468,53,8.697626
13.956025,15,9.283435
15.97158,17,9.284436
16.971385,18,9.286433
37.875486,39,9.289433
18.89182,20,9.290433
11.056723,12,9.291432
35.923743,37,9.294432
37.815868,39,9.296432
19.922451,21,9.298432
17.052134,18,9.300432
10.033871,11,9.300432
23.871993,25,9.854459
13.941515,15,9.85546
38.836103,40,9.858459
24.971853,26,9.86046
10.960707,12,9.86146
24.953072,26,9.862459
35.800435,37,9.868455
103.508168,105,10.513758
17.968229,19,10.516758
13.955543,15,10.518758
71.710872,73,10.527758
32.83568,34,10.532758
119.398321,121,11.182493
30.885559,32,11.187556
69.703302,71,11.196556
47.817377,49,11.203556
