#{"t_start": 1778308744.5051532, "env_id": "LunarLander-v3"}
r,l,t
-74.454255,89,0.032718
-178.882971,99,0.04575
-239.25364,99,0.055331
-128.367713,101,0.067852
13.320284,73,0.077394
-180.186457,111,0.09093
-124.732255,70,0.099956
-82.384309,101,0.11219
-56.403458,94,0.121204
-17.258127,74,0.131217
-186.231554,102,0.146733
-198.664076,77,0.154401
-171.407139,94,0.161098
-355.059346,116,0.169614
-111.657414,59,0.175638
-266.736084,99,0.184149
-163.895984,103,0.192753
-219.114064,86,0.200121
-153.409412,72,0.208134
-121.058022,83,0.21716
-124.502101,79,0.225688
-408.952281,117,0.234699
-289.605478,104,0.249338
-28.33896,129,0.261047
-56.297236,135,0.270071
-182.887484,76,0.277586
-268.919103,85,0.289605
-102.728713,100,0.299126
-120.186386,88,0.310679
-170.527595,86,0.318196
-253.781584,117,0.326739
-72.080573,73,0.338173
-293.499844,126,0.356214
-76.560562,60,0.365731
-343.801322,88,0.375262
-101.418971,75,0.388647
-107.500946,90,0.395158
-280.249236,120,0.403683
-132.756477,68,0.410698
-88.165977,67,0.416247
-206.201093,65,0.424268
-129.095272,132,0.436322
-127.883753,90,0.44483
-99.682205,65,0.449332
-318.605036,92,0.456351
-117.397435,123,0.465367
-437.424507,128,0.474401
-132.534232,73,0.478372
-98.662507,63,0.483388
-112.338256,94,0.48939
-120.098737,81,0.496901
-191.58296,107,0.503438
-375.400833,98,0.510947
-282.38151,116,0.519539
-106.314813,77,0.525051
-260.337692,101,0.534073
-75.320904,116,0.545665
-268.757964,126,0.555197
-143.176341,65,0.561842
-210.231549,74,0.567351
-246.402228,126,0.577874
-73.416893,59,0.586391
-96.612726,75,0.595037
-448.638252,88,0.601062
-30.311757,109,0.613616
-69.473563,81,0.622124
-126.018058,87,0.635674
-201.600883,69,0.643183
-285.674599,114,0.66072
-63.554493,60,0.668235
-84.791249,61,0.674994
-78.466182,62,0.679503
-132.391223,96,0.686016
-241.158548,65,0.691519
-67.300638,78,0.701535
-65.848489,117,0.716146
-121.370299,121,0.726656
-153.651634,123,0.737085
-104.92842,72,0.742593
-160.457768,61,0.747102
-168.872038,56,0.751102
-412.176463,97,0.759223
-343.511383,103,0.774745
-164.756864,98,0.782764
-245.468639,116,0.790765
-304.174035,78,0.798188
-280.627631,88,0.803204
-199.815619,92,0.812732
-84.157223,172,0.825271
-107.256436,67,0.830785
-149.868059,74,0.836299
-519.509444,101,0.84181
-64.557552,73,0.848319
-374.114319,89,0.854825
-98.027171,90,0.860843
-108.225724,62,0.864104
-150.816233,79,0.870105
-111.341504,74,0.874939
-181.951906,95,0.881969
-121.454862,74,0.893561
-86.597848,77,0.901067
-197.540981,79,0.90665
-229.908348,117,0.91366
-78.24643,68,0.921746
-87.07927,60,0.927252
-308.438269,97,0.933271
-242.929352,90,0.939271
-217.611949,104,0.946285
-136.567422,121,0.954794
-97.517421,65,0.959474
-113.549452,123,1.003685
63.282193,1000,1.648669
-69.191958,70,1.694358
-184.232298,108,1.750112
-24.186799,106,1.823628
-108.837805,95,1.877844
-102.612454,101,1.930702
-122.998084,90,1.981818
41.956398,83,2.027961
-239.799144,86,2.077086
-97.696322,102,2.135739
-82.398861,82,2.177304
-99.257305,66,2.218503
-217.857458,113,2.289773
-136.216083,104,2.354408
-90.619787,113,2.425445
-64.458463,97,2.467865
-178.756028,120,2.522537
-235.255183,99,2.575254
-138.191968,94,2.624053
-133.855588,95,2.689223
-136.153061,78,2.735188
-123.620541,71,2.781209
-97.731184,88,2.833182
-52.206911,100,2.885161
-183.562669,57,2.919262
-138.937435,91,2.987519
-72.001306,108,3.061286
-300.207162,89,3.129156
-238.305103,70,3.179537
-131.79201,113,3.264702
-116.401744,97,3.340849
-174.258386,116,3.429329
-34.622182,114,3.518237
-270.629608,85,3.569938
-127.266019,88,3.62463
-53.594247,77,3.677208
-207.035556,119,3.749659
-116.346718,80,3.796014
-93.534559,111,3.864849
43.004235,102,3.924472
-154.062923,62,4.614458
-93.741151,104,4.673176
-77.641325,83,4.730773
-106.547747,63,4.763808
-75.460591,82,4.808957
-316.229655,97,4.864084
-88.247694,71,4.901654
-96.171396,116,4.968567
-100.391457,86,5.020998
-150.358727,64,5.067716
-133.276537,112,5.126774
-19.776266,79,5.177613
-132.246102,60,5.210647
-293.573136,145,5.297136
-154.968934,141,5.392239
-346.281467,158,5.488483
-278.574586,98,5.548032
-113.194979,74,5.592707
-124.810623,67,5.631647
-115.929747,65,5.670694
-105.28147,116,5.734363
-176.192663,98,5.779409
-132.71825,147,5.867327
-58.451702,112,5.937476
-153.14016,74,5.974047
-98.77739,69,6.006577
-125.008146,77,6.052762
-73.94285,116,6.120791
-73.506561,67,6.156386
-465.015642,112,6.221943
-132.872697,101,6.279514
-106.195998,78,6.31559
-188.726726,115,6.376035
-98.385695,75,6.419232
-184.564475,75,6.455631
-133.203211,88,6.499182
-104.845565,135,6.560696
-38.612155,85,6.60316
-198.647244,106,6.660017
-186.763365,85,6.712292
-108.5591,134,6.777422
-70.46335,89,6.837216
-137.76247,70,6.87335
-157.560198,119,6.946513
-121.886973,109,7.01507
-282.173893,71,7.059438
-111.398179,94,7.109039
-81.553275,84,7.168157
-242.547986,107,7.247997
-158.285795,92,7.312816
-99.40541,121,7.398133
-73.475341,91,7.467629
-89.069027,124,7.54519
-19.75974,127,7.623465
