#{"t_start": 1778371200.233627, "env_id": "MiniGrid-Empty-5x5-v0"}
r,l,t
-10.007766,100,0.036069
-10.026066,100,0.05607
-10.267624,100,0.074581
-10.037046,100,0.102671
-10.410363,100,0.129724
-10.344483,100,0.15479
-5.998868,71,0.174397
-10.615321,100,0.195031
-10.337163,100,0.219084
-10.333503,100,0.248701
-8.378258,89,0.30072
-1.546893,34,0.33093
-8.499174,95,0.412169
-10.333503,100,0.490941
-9.751568,100,0.581636
-10.410363,100,0.663233
-0.100299,21,0.681292
-10.454282,100,0.750962
-6.061088,71,0.806729
-10.037046,100,0.87789
0.245004,19,0.894404
-10.483562,100,0.95668
-9.974826,100,1.045774
-10.157825,100,1.155753
-8.60102,94,1.242929
-9.189146,98,1.322181
-11.069157,100,1.397867
-2.584066,42,1.424545
-10.117565,100,1.500715
-10.944718,100,1.586733
-9.294653,97,1.666891
-10.948378,100,1.747131
-7.190393,80,1.818697
0.631832,15,1.831757
-10.080965,100,1.910041
-10.992298,100,1.970625
-10.505522,100,2.058448
-10.556761,100,2.14269
0.999727,12,2.152693
-10.68852,100,2.229008
-6.944542,79,2.277688
-3.860403,52,2.311332
-10.600681,100,2.392038
-1.325396,31,2.418169
-4.018415,53,2.462795
-4.578527,59,2.498801
-6.284979,72,2.568968
-2.584699,43,2.608542
-9.967506,100,2.694223
-5.424116,65,2.749302
-7.367337,82,2.83408
-10.838579,100,2.934427
-4.623712,61,2.991997
-1.613405,35,3.028582
-5.310657,65,3.091163
-10.637281,100,3.19142
-6.042788,71,3.258639
-10.146845,100,3.344661
-2.377843,40,3.384317
-9.642983,98,3.46501
-8.058575,87,3.533722
-4.290518,55,3.576967
1.621426,7,3.580967
-11.036217,100,3.668114
-7.888951,85,3.737184
-1.972715,36,3.772823
-2.378475,41,3.797897
-3.018474,46,3.83251
-10.534802,100,3.911463
-10.395723,100,4.005486
-10.505522,100,4.097641
-10.168805,100,4.193845
-10.984978,100,4.263645
-0.24367,22,4.284149
-10.435982,100,4.378289
-1.656692,34,4.402291
-7.138521,79,4.473045
-10.410363,100,4.55292
-5.587053,68,4.598551
-3.581613,51,4.644135
-9.298313,97,4.710834
-10.150505,100,4.794541
-5.472329,66,4.859457
-10.494542,100,4.944731
-2.704845,42,4.98666
-4.670659,60,5.030336
-1.759804,35,5.066937
-2.882422,45,5.109015
-1.617065,35,5.135599
0.171804,19,5.149661
-10.242004,100,5.228886
-1.064273,29,5.255955
-10.249324,100,5.350817
-1.104533,29,5.380394
-10.72512,100,5.464122
-10.099265,100,5.53977
-2.837237,43,5.568039
-11.054517,100,5.662814
-8.348346,88,5.737513
-10.564081,100,5.820225
-10.648261,100,5.89937
-4.228299,55,5.945509
-10.622641,100,6.02545
-4.691986,59,6.066017
-0.939201,28,6.093162
-10.439642,100,6.181311
-10.260304,100,6.279393
-10.168805,100,6.359623
-10.71048,100,6.446422
-10.124885,100,6.540138
-10.337163,100,6.619821
-1.465108,32,6.648519
-10.392063,100,6.72525
-6.799905,76,6.799401
-10.618981,100,6.882364
-7.67238,84,6.954028
-10.344483,100,7.047995
-0.207071,22,7.067073
-10.263964,100,7.156403
-0.373035,24,7.179908
-0.76655,27,7.21297
-0.170471,22,7.233044
1.23523,10,7.244555
-3.882363,52,7.286134
-10.406703,100,7.377966
-8.794366,93,7.46563
-10.575061,100,7.540627
-10.194424,100,7.610877
-0.667098,26,7.634952
-10.132205,100,7.720212
-10.139525,100,7.803872
-4.592534,58,7.859443
-11.171636,100,7.947728
