#{"t_start": 1778977471.546945, "env_id": "LunarLander-v3"}
r,l,t
-118.457089,111,0.024947
-110.772825,78,0.031556
-108.605787,66,0.036554
-153.590038,73,0.041344
-255.791485,102,0.048387
-81.774066,59,0.052401
-201.686302,133,0.059901
-94.089522,102,0.066488
-203.371043,89,0.07104
-264.372604,104,0.077698
-322.355627,101,0.085182
-229.050228,80,0.08971
-99.693751,64,0.094215
43.77121,119,0.10089
-309.608035,102,0.106881
-119.393394,112,0.112956
-92.867336,64,0.113582
-111.473626,87,0.122165
-112.659414,149,0.13182
-387.36138,126,0.141294
-314.736953,123,0.149423
-308.033698,103,0.15536
-172.809535,88,0.160512
-126.096664,87,0.161513
-105.771734,74,0.170688
-95.776699,77,0.174876
-437.194978,111,0.182196
-365.181567,99,0.187235
-111.34631,73,0.191844
-116.828748,94,0.196954
-164.201228,99,0.203066
-110.849543,114,0.211142
-200.639075,97,0.216785
-313.559237,86,0.222797
-90.45364,62,0.226809
-407.042377,111,0.233354
-207.292148,123,0.239827
-107.57848,78,0.242842
-112.015239,84,0.250634
-275.899049,114,0.259573
-107.442972,68,0.263571
-318.859496,140,0.274649
-101.229592,85,0.278841
-209.324994,97,0.284858
-232.919326,110,0.286862
-64.777626,63,0.286862
-125.518148,96,0.301067
-135.171051,87,0.305426
-206.215005,68,0.310336
-148.731733,122,0.319432
-230.529817,89,0.325255
-341.667811,122,0.333332
-327.81329,112,0.337864
-112.792949,92,0.345183
-122.04419,101,0.353832
-129.607842,87,0.359793
-77.157555,77,0.364718
-114.595756,97,0.373882
-102.083943,87,0.378885
-87.460362,65,0.380646
-221.101413,89,0.387444
-140.852616,98,0.399155
-88.985904,77,0.403153
-173.92331,72,0.409389
-174.787971,93,0.414335
-311.782077,82,0.420563
-153.060904,132,0.429341
-111.627769,67,0.43334
-205.572992,76,0.434875
-355.559719,98,0.444085
-53.016436,59,0.447289
-278.68207,95,0.453408
-298.538031,124,0.45887
-80.189795,111,0.465478
-409.145647,95,0.473894
-62.626181,78,0.479894
-153.138417,72,0.483456
-399.512725,100,0.490306
-5.678985,125,0.49831
-381.5546,120,0.504442
-149.542777,107,0.513279
-92.639009,80,0.518152
-485.600246,95,0.523751
-144.058702,123,0.53113
-355.286485,101,0.540215
-141.053268,125,0.546607
-88.788428,61,0.552341
-1.331388,87,0.557878
-123.938081,97,0.563329
-324.130975,122,0.570795
31.740035,90,0.575813
-108.093928,91,0.582102
-170.050514,73,0.586102
-130.086894,62,0.586102
-327.711079,86,0.595715
-177.975548,73,0.600424
-106.598949,102,0.606732
-202.736727,67,0.611494
-176.864015,124,0.618812
-172.931475,66,0.622322
-172.717141,134,0.630338
-95.384974,88,0.63592
-315.340434,118,0.642436
-206.601559,106,0.646842
-196.699678,121,0.657154
-89.880446,80,0.679934
-363.815632,100,0.737852
-206.294384,76,0.774648
-177.408578,66,0.812164
-301.535234,112,0.866259
-207.279095,83,0.901425
-88.427124,133,0.949327
-169.707375,73,0.976111
-237.49267,113,1.030398
-237.467918,94,1.078566
-161.837211,112,1.132177
-156.055586,100,1.189226
-105.059399,89,1.241374
-103.965325,116,1.307057
-128.764361,154,1.376857
-269.677722,152,1.473068
-178.278341,74,1.502288
-124.58656,126,1.550769
-122.553545,119,1.593235
-143.240324,77,1.631574
-202.217851,103,1.672635
-201.021044,146,1.739041
-185.755205,116,1.777708
-107.038638,76,1.812943
-278.022535,118,1.887958
-64.206455,122,1.942794
-162.425594,70,1.98548
-100.374637,153,2.066428
-157.670345,127,2.114947
-77.060403,91,2.161469
-116.559112,121,2.227114
-144.836132,120,2.291764
-141.749368,91,2.326073
-45.868508,77,2.359572
-63.196915,65,2.387943
-145.957619,76,2.418261
-101.597412,142,2.484947
-60.784401,98,2.520289
-114.381608,141,2.591669
-156.980831,145,2.660075
-147.072698,131,2.731274
-99.587702,91,2.774346
-64.062235,83,2.813626
-106.074929,137,2.863153
-126.624484,87,2.899258
-185.076854,97,2.956884
-160.620956,191,3.06284
-92.834366,156,3.276333
-131.381372,124,3.342119
-118.940147,83,3.380765
-85.505582,105,3.448569
-90.024125,99,3.488001
-73.731591,116,3.556863
35.42742,135,3.637868
-81.169489,228,3.759513
-64.750467,146,3.829677
-287.38432,140,3.919363
-75.820735,175,3.997636
-60.911,66,4.030244
-78.16003,71,4.070619
-40.530155,160,4.145527
-141.896698,95,4.198824
-100.259379,136,4.24989
-112.897136,135,4.305012
-69.534987,157,4.382698
-68.892617,67,4.421794
-64.708829,95,4.459424
-107.876623,132,4.543558
-113.552565,82,4.590584
-201.916642,109,4.642644
-82.469385,152,4.71399
-107.084755,100,4.770582
-77.156537,146,4.826954
-74.844081,82,4.863066
-73.499185,88,4.893986
-67.350496,82,4.936599
-80.229548,93,4.991012
-181.678284,97,5.047569
-72.316329,99,5.100309
-126.933468,148,5.180629
-59.101955,99,5.215401
-52.166079,144,5.286441
-35.92982,141,5.350104
-51.71825,101,5.401957
-99.51901,181,5.467351
-77.713826,74,5.500628
-138.915968,102,5.569493
-46.276446,76,5.616422
-72.160697,122,5.680089
-59.996569,126,5.739315
-89.838887,98,5.777963
-6.478695,100,5.821618
-77.787021,79,5.870094
-107.514301,65,5.911069
-14.247911,203,6.012268
-21.410653,170,6.095089
-64.211163,161,6.201792
-118.949971,124,6.266639
-79.453006,73,6.302876
-18.547605,182,6.399969
-71.996519,87,6.434365
-37.934564,201,6.549633
-13.365696,161,6.654871
-85.662987,124,6.73553
-80.598039,72,6.764423
-64.811831,121,6.820671
-81.781854,86,6.85435
-112.187133,172,6.937571
-18.108174,120,7.000532
-64.686688,85,7.04548
-113.710381,109,7.111958
-68.290379,115,7.170031
-105.297131,128,7.252403
-38.233259,106,7.304341
-49.034229,140,7.394343
-39.219316,102,7.435772
-29.40892,156,7.503106
-28.894045,103,7.540328
-19.409769,88,7.596027
-41.435693,119,7.647628
-46.381111,130,7.734088
-49.096408,151,7.807554
-55.607089,117,7.874422
37.76904,1000,8.392759
-54.57803,99,8.444364
-77.415868,90,8.497931
-26.723611,100,8.541635
-53.875193,104,8.608102
-103.990077,81,8.661285
-25.309313,124,8.727494
-10.766903,126,8.784562
-53.38393,278,8.944619
-22.944161,148,9.015397
48.88156,1000,9.471908
18.246364,246,9.608381
-28.643323,170,9.704664
-16.428041,166,9.778534
-13.593277,235,9.904433
-59.553645,153,9.995188
-18.882341,186,10.090049
-48.844993,157,10.16185
-250.249753,523,10.435798
-19.397013,99,10.488902
-24.508206,109,10.550947
-23.509447,247,10.671139
-5.76765,213,10.773936
-40.167671,110,10.846082
-34.755277,229,10.965513
