#{"t_start": 1777544674.1537752, "env_id": "CartPole-v1"}
r,l,t
18.856911,20,0.021025
10.949352,12,0.023024
15.043951,16,0.024025
23.923377,25,0.026536
32.858383,34,0.029047
35.807805,37,0.031046
23.007359,24,0.033045
30.899043,32,0.035046
24.948261,26,0.038058
18.992629,20,0.039067
47.744376,49,0.043065
25.949151,27,0.045065
18.893201,20,0.046569
30.908341,32,0.048577
13.98559,15,0.049576
22.848046,24,0.051577
8.995021,10,0.052575
21.922324,23,0.054577
14.91086,16,0.056577
37.724083,39,0.063745
22.857597,24,0.066745
12.924899,14,0.067744
21.892251,23,0.069918
33.880242,35,0.071919
9.938839,11,0.072918
23.825833,25,0.074919
32.79626,34,0.076422
24.937513,26,0.079931
13.94417,15,0.080932
44.82477,46,0.083933
19.89799,21,0.084932
24.826675,26,0.087942
12.052157,13,0.088947
18.909138,20,0.090947
24.928726,26,0.092946
14.007992,15,0.093946
13.072095,14,0.094947
50.744039,52,0.098967
19.001203,20,0.099972
15.968009,17,0.101971
10.973779,12,0.101971
10.05308,11,0.106474
12.05675,13,0.107979
56.748872,58,1.130043
11.035967,12,1.131041
29.788899,31,1.134043
12.080936,13,1.135043
9.055527,10,1.136042
33.86222,35,1.139551
19.021837,20,1.141551
16.028511,17,1.143551
25.804806,27,1.145551
38.783894,40,1.149057
12.037234,13,1.856299
18.945912,20,1.858806
19.027185,20,1.860809
9.033396,10,1.860809
22.972487,24,1.862809
16.013959,17,1.86481
9.99733,11,1.866317
15.0565,16,1.86782
37.766549,39,1.871828
12.043417,13,1.872828
24.815073,26,1.874828
48.868586,50,1.883837
30.922106,32,2.675043
51.721337,53,2.681555
18.964317,20,2.683553
21.002084,22,2.685553
12.029917,13,2.687557
14.028639,15,2.688599
10.95656,12,2.689599
18.889483,20,2.691598
12.994257,14,2.692599
39.868454,41,2.695599
22.956548,24,3.844586
13.920081,15,3.850741
28.897583,30,3.856741
29.802307,31,3.860769
28.848506,30,3.864769
20.975472,22,3.867771
16.947844,18,3.871115
46.711375,48,3.876618
14.90678,16,3.880626
61.544369,63,5.049108
17.965768,19,5.055111
17.047675,18,5.059622
41.814725,43,5.065621
18.934945,20,5.068696
65.517732,67,5.079207
15.994493,17,5.081212
11.993432,13,5.082211
12.954798,14,5.084211
20.933588,22,6.24279
9.079338,10,6.24379
61.689654,63,6.256309
34.800208,36,6.272834
13.067612,14,6.273833
56.681217,58,6.284851
27.839176,29,6.291864
12.068253,13,6.293974
28.893883,30,7.465007
25.881506,27,7.469023
23.830785,25,7.472027
23.95668,25,7.475026
14.017956,15,7.476529
28.784732,30,7.480037
18.979846,20,7.483036
8.08972,9,7.484036
13.020486,14,7.486539
25.858333,27,7.491046
19.910841,21,7.494047
17.878975,19,7.496549
45.744764,47,8.832436
36.830077,38,8.836461
32.79062,34,8.841969
25.912742,27,8.846474
51.622247,53,8.853982
14.931805,16,8.85799
18.026983,19,8.860994
45.736417,47,10.02518
15.991107,17,10.027687
12.99809,14,10.030694
12.023049,13,10.032693
13.032196,14,10.034693
25.837629,27,10.038201
30.762898,32,10.042206
29.842226,31,10.047714
8.982472,10,10.049718
21.993881,23,10.052721
17.024963,18,10.055721
20.870684,22,10.058225
38.860231,40,10.863051
10.956432,12,10.864058
14.011705,15,10.866559
41.792257,43,10.871566
20.870135,22,10.874566
11.059529,12,10.875566
13.991734,15,10.878071
16.997109,18,10.880076
15.90196,17,10.881076
64.649837,66,10.886581
12.925431,14,10.887585
17.018547,18,11.731148
14.933542,16,11.733149
28.93714,30,11.736651
17.050745,18,11.739657
18.965614,20,11.741659
74.626835,76,11.748847
13.976067,15,11.749847
36.718458,38,11.752848
100.326738,102,12.654983
8.979549,10,12.656487
38.795614,40,12.660997
19.858694,21,12.664502
35.715905,37,12.671013
30.896309,32,12.674016
13.974169,15,12.676519
12.960867,14,12.678024
18.9178,20,12.68003
28.920229,30,13.661104
34.939549,36,13.666623
16.990853,18,13.668128
13.018023,14,13.670131
18.017546,19,13.673131
10.964194,12,13.674131
29.858334,31,13.678145
40.758061,42,13.682147
46.781799,48,13.685147
22.826153,24,14.550506
22.842306,24,14.553507
18.937618,20,14.55451
23.861524,25,14.557785
80.622389,82,14.573611
9.945944,11,14.574612
28.899448,30,14.578116
15.055751,16,14.580119
13.986767,15,14.582119
38.818506,40,15.516853
53.775877,55,15.524857
14.005932,15,15.526361
34.761992,36,15.53187
37.73559,39,15.536877
17.979543,19,15.544883
21.99101,23,15.548904
110.195008,112,16.457047
20.965558,22,16.543049
16.913168,18,16.545566
14.002766,15,16.547574
20.927978,22,16.552576
38.711104,40,16.559721
31.874515,33,16.565719
10.967973,12,16.567246
72.512087,74,17.458878
67.609044,69,17.469422
38.750086,40,17.474416
31.931167,33,17.476917
44.813045,46,17.481923
29.814482,31,18.380708
17.921703,19,18.389721
21.022807,22,18.392719
12.018098,13,18.39572
62.735071,64,18.407738
38.732709,40,18.414739
22.844795,24,18.418749
19.968331,21,18.419748
49.800353,51,19.31771
22.93112,24,19.322218
55.710167,57,19.33073
64.573362,66,19.34274
48.737582,50,19.350002
57.612407,59,20.218841
31.801777,33,20.222846
20.007598,21,20.226849
17.881496,19,20.229852
14.042056,15,20.236864
26.85741,28,20.241873
18.973752,20,20.244874
107.346313,109,20.264913
110.365362,112,21.118927
49.698009,51,21.126947
105.478702,107,21.981766
26.866319,28,21.984766
33.849491,35,21.988781
44.770263,46,21.994779
10.058351,11,21.994779
42.704002,44,22.000789
34.780657,36,22.004792
15.036982,16,22.006802
12.027296,13,22.008805
27.957348,29,22.830738
27.836684,29,22.835737
21.903696,23,22.839747
42.88001,44,22.846752
27.812779,29,22.85176
22.85928,24,22.857777
44.754496,46,22.866292
57.620552,59,23.653965
13.01534,14,23.654963
41.771594,43,23.65998
18.023662,19,23.661978
19.90625,21,23.666481
103.215096,105,23.678
53.595478,55,24.475734
50.81112,52,24.483744
99.465652,101,24.501777
21.975462,23,24.506281
7.117704,8,24.507786
53.814276,55,24.516798
16.875215,18,25.343644
31.78357,33,25.353162
11.925197,13,25.355162
202.827582,205,26.179583
24.947123,26,26.183586
13.966423,15,26.185585
21.928343,23,26.187739
125.360588,127,26.210583
13.986481,15,26.213584
9.937501,11,26.215584
19.931391,21,26.217592
28.892988,30,26.997825
27.927525,29,27.003824
150.132303,152,27.023369
26.883364,28,27.026369
48.776282,50,27.881775
13.999857,15,27.883775
16.937319,18,27.886781
56.691903,58,27.892788
63.807469,65,27.903748
10.929805,12,27.905771
53.779159,55,27.910794
18.052425,19,28.722227
17.015453,18,28.726728
25.824988,27,28.731732
11.929543,13,28.737235
25.911347,27,28.744241
36.857704,38,28.748746
30.921705,32,28.753749
47.749286,49,28.763761
53.718106,55,29.564547
43.791322,45,29.572074
25.971075,27,29.575579
9.981241,11,29.576581
33.896649,35,29.58109
113.444224,115,29.597628
15.880472,17,30.433
16.879818,18,30.43801
27.840015,29,30.444012
78.663009,80,30.453022
25.872278,27,30.456532
42.806147,44,30.464042
58.744782,60,31.270329
22.916373,24,31.274326
82.498388,84,31.283836
21.975461,23,31.286839
17.044571,18,31.289844
56.779134,58,31.299857
40.71175,42,31.303858
43.805812,45,32.111682
21.886807,23,32.116684
110.550758,112,32.151733
108.381921,110,32.963834
11.959769,13,32.966837
9.964983,11,32.969347
95.504759,97,32.991875
102.523757,104,33.014897
129.286462,131,33.778893
13.052445,14,33.779892
9.950352,11,33.782893
12.068697,13,33.7869
65.608516,67,33.79992
27.943833,29,34.53063
37.797951,39,34.535629
59.694031,61,34.548642
54.643101,56,34.559654
43.810007,45,34.568658
40.822259,42,34.57667
34.955482,36,35.296817
11.062492,12,35.29882
17.985067,19,35.299822
15.982624,17,35.301822
11.0462,12,35.302822
52.71932,54,35.30983
85.698622,87,35.321843
14.991603,16,35.324843
22.934401,24,36.12193
12.92296,14,36.12393
13.039735,14,36.12493
31.959515,33,36.129942
11.97404,13,36.131941
18.944604,20,36.134941
15.016487,16,36.136949
11.9844,13,36.137956
15.058935,16,36.140961
105.427357,107,36.902955
18.031127,19,36.906959
19.001632,20,36.911963
81.34483,83,36.929996
107.417922,109,36.950026
14.050215,15,36.952025
21.978719,23,37.778079
12.914627,14,37.780078
31.958311,33,37.78508
11.020989,12,37.78658
104.303294,106,37.806596
21.885832,23,37.811603
16.032699,17,37.814599
19.024088,20,37.822114
13.06618,14,38.597056
16.933475,18,38.600058
165.187484,167,38.628602
315.981246,319,39.525155
10.934788,12,40.368066
18.988624,20,40.374068
98.597502,100,40.394079
11.956405,13,40.397586
18.000794,19,40.401585
18.947127,20,40.404601
19.012966,20,40.413868
12.944046,14,40.417381
43.803396,45,41.280859
13.934677,15,41.283862
13.935611,15,41.290195
134.243002,136,41.315712
66.714427,68,41.327224
9.013911,10,41.328226
61.807584,63,42.096735
39.81046,41,42.106239
109.454826,111,42.130273
99.56668,101,42.904636
153.175295,155,42.938193
96.663472,98,43.793213
14.026597,15,43.796719
113.369539,115,43.827248
15.074995,16,43.830253
22.964548,24,43.834254
12.091495,13,43.835762
7.999393,9,43.836766
36.969062,38,44.644468
23.861105,25,44.649977
9.09784,10,44.651979
18.932148,20,44.655977
13.935753,15,44.657482
17.004156,18,44.660988
18.886813,20,44.664495
30.981049,32,44.671001
13.904673,15,44.677273
21.973185,23,44.684271
62.760761,64,45.489336
17.057763,18,45.493335
114.35764,116,45.51887
325.756701,329,46.465932
30.911221,32,46.470935
24.830425,26,47.291888
15.999579,17,47.296391
38.905737,40,47.306904
31.953299,33,47.317133
16.899404,18,47.322133
48.848086,50,47.329643
31.9462,33,47.333643
91.56321,93,48.169303
11.93939,13,48.173303
119.366759,121,48.211342
11.078718,12,48.21434
189.90968,192,49.044106
15.056581,16,49.048619
95.662375,97,49.069935
12.074275,13,49.072938
12.06802,13,49.895159
12.979168,14,49.898666
15.004066,16,49.90267
246.305368,249,50.771815
15.94074,17,50.776317
88.714159,90,50.802343
17.030773,18,50.807854
14.992579,16,50.815866
88.68988,90,51.649813
107.328144,109,51.674834
98.389871,100,51.700994
31.953973,33,51.707506
99.555598,101,52.515645
11.067774,12,52.51765
13.010851,14,52.520655
14.041322,15,52.522656
222.453492,225,53.439907
93.52678,95,53.468623
11.995641,13,53.471625
91.620612,93,54.379917
15.95484,17,54.384616
98.504777,100,54.41757
16.978468,18,54.422575
147.05874,149,55.384691
42.850154,44,55.401715
12.916305,14,55.405714
11.014654,12,55.407964
11.997239,13,55.409962
30.888677,32,55.41747
88.557427,90,56.365652
170.108495,172,56.418505
20.973954,22,56.426009
36.91922,38,57.378205
100.514434,102,57.401974
94.527322,96,57.422987
28.848041,30,57.4295
97.496443,99,58.36691
103.637288,105,58.391936
107.496347,109,59.292253
40.832695,42,59.304761
107.440674,109,59.341815
157.038556,159,60.366113
15.042707,16,60.370121
13.063408,14,60.373122
34.84834,36,60.380641
259.767668,262,61.350301
18.034056,19,61.3533
89.735624,91,62.273687
404.250886,408,63.292524
98.668548,100,64.201963
94.550456,96,64.222467
102.408469,104,64.248559
257.428447,260,65.20371
14.924879,16,65.206715
99.587284,101,66.104892
27.932727,29,66.1104
103.51091,105,66.135016
100.614172,102,67.039547
91.619882,93,67.066267
96.475353,98,67.098429
111.384227,113,68.015071
201.47164,204,68.97167
30.913925,32,68.981116
233.658328,236,69.98584
116.325876,118,70.026542
105.477673,107,70.947565
91.690272,93,70.968769
98.578189,100,71.001463
121.228432,123,71.868703
128.175815,130,71.906291
17.982201,19,71.912298
138.983436,141,72.865644
253.168309,256,73.812052
96.554054,98,73.836018
26.940867,28,73.846533
101.491553,103,74.754751
112.468346,114,74.790987
95.784095,97,75.616394
112.446662,114,75.638457
114.572121,116,76.525032
100.695107,102,76.560374
109.597955,111,76.614758
114.419152,116,77.810715
114.299329,116,77.854885
102.517829,104,79.070022
103.448034,105,79.112678
114.434327,116,80.307561
119.190031,121,80.351508
51.817246,53,80.370036
98.672128,100,81.496214
88.738596,90,81.531447
14.990951,16,81.537473
89.797497,91,81.570136
495.787553,500,84.115947
118.21037,120,85.425441
106.31211,108,85.469836
138.139461,140,86.670348
89.784526,91,86.703592
91.64818,93,87.989439
129.18569,131,88.596226
87.718258,89,88.62929
92.604945,94,89.956278
90.761077,92,89.992329
92.767043,94,91.383892
76.768464,78,91.415504
90.81362,92,91.460955
87.797946,89,92.647485
107.460175,109,92.690547
113.378015,115,92.729612
13.014856,14,92.73361
208.875967,211,94.003782
101.645288,103,95.204894
77.867869,79,95.232344
18.9704,20,95.24036
14.056584,15,95.246373
91.680758,93,95.287445
75.752945,77,96.479378
88.848499,90,96.516439
15.906838,17,96.522952
40.876683,42,96.536469
90.708789,92,97.649695
94.663559,96,97.689746
92.655505,94,97.720765
120.34642,122,98.879528
11.071307,12,98.88465
109.38059,111,98.922623
13.008349,14,98.927581
103.427506,105,100.039888
120.295282,122,100.086576
89.705498,91,101.240339
87.640964,89,101.272384
94.525288,96,101.309447
79.782137,81,102.430308
88.720359,90,102.466369
75.84357,77,102.501418
58.775907,60,103.714016
62.901949,64,103.739257
85.718949,87,103.776311
88.853163,90,104.930407
19.020942,20,104.937419
101.54993,103,104.972465
107.439862,109,105.017053
113.525144,115,106.183976
110.517753,112,106.227522
389.555188,393,108.54247
146.342209,148,108.59505
99.56057,101,109.737376
85.694584,87,109.76642
103.511046,105,110.879188
116.3931,118,110.930382
171.189375,173,112.122941
174.112902,176,112.189625
74.824643,76,113.341434
97.581499,99,113.377493
113.383129,115,114.594838
109.504217,111,114.645067
496.022231,500,117.284964
111.366716,113,117.330648
274.2553,277,119.865228
146.296536,148,119.931324
12.017763,13,119.937342
120.424038,122,121.037398
90.688026,92,121.068749
14.941367,16,121.074255
18.018855,19,121.080255
30.954804,32,121.090266
90.735576,92,122.141497
431.773871,436,123.236355
93.644214,95,124.22837
83.607514,85,124.2549
81.663681,83,124.283935
151.244935,153,125.256428
191.841827,194,126.27655
99.457808,101,126.308576
116.45563,118,127.287699
95.663066,97,127.318724
93.699193,95,127.351506
225.557977,228,128.541415
174.002702,176,129.703198
20.999475,22,129.710712
179.935325,182,130.870442
173.833672,176,130.930519
233.473102,236,132.089345
168.944852,171,133.26031
126.360989,128,133.310397
153.269306,155,134.447604
13.981206,15,134.451605
113.35067,115,135.560485
324.117895,327,136.731655
15.931314,17,136.737463
51.882788,53,136.758492
69.875919,71,136.783723
365.633133,369,139.058316
186.87917,189,140.190487
94.767674,96,140.227327
91.749993,93,140.26288
96.603094,98,141.357188
242.80357,245,142.519384
96.520166,98,142.560458
95.648465,97,142.594011
83.61501,85,143.675004
17.97884,19,143.683019
31.954497,33,143.694744
72.738073,74,143.72379
71.654152,73,144.947413
97.697196,99,144.984074
80.691105,82,145.013786
92.649992,94,146.229503
85.690081,87,146.266539
42.802428,44,146.282915
77.65615,79,146.312968
13.926825,15,146.318484
175.171288,177,147.587245
399.420187,403,150.1974
115.435161,117,150.247479
300.939606,304,151.567438
480.866037,485,154.17183
25.972037,27,154.180346
33.028722,34,155.301787
12.939341,14,155.307298
114.253783,116,155.349361
136.247581,138,156.542753
24.905173,26,156.552772
111.578634,113,156.593706
97.636341,99,156.636086
131.366579,133,157.802721
141.22535,143,159.012174
110.475547,112,159.052055
79.624619,81,159.083069
23.924471,25,159.090577
20.039308,21,159.097203
434.088933,438,161.517276
157.905611,160,162.697394
99.53688,101,163.033098
94.63209,96,164.232132
89.749589,91,164.269835
36.872497,38,164.283804
91.661853,93,164.314863
156.143925,158,165.494933
104.495875,106,165.535017
64.820819,66,166.702585
84.779004,86,166.732735
12.964089,14,166.737243
24.990578,26,166.751769
37.828161,39,166.76629
254.75927,257,168.03384
113.483542,115,169.308259
109.420267,111,169.354832
100.563255,102,170.611983
312.015143,315,171.856257
192.793632,195,173.094734
496.000902,500,175.548459
108.55397,110,175.5947
123.180327,125,176.71476
103.533592,105,176.754835
105.668372,107,176.796425
395.561419,399,179.137571
89.591795,91,179.172136
91.79672,93,180.344106
314.780591,318,181.55975
365.456913,369,182.806573
496.180665,500,185.211192
180.975954,183,186.457537
62.683919,64,186.481091
95.574747,97,187.666347
64.76833,66,187.692902
15.043122,16,187.698416
63.806883,65,187.726479
70.763377,72,187.755615
68.897586,70,188.929621
77.742156,79,188.956281
31.902584,33,188.964799
69.813854,71,188.991847
304.044124,307,191.319513
496.886119,500,193.73484
496.096205,500,196.127208
447.87107,452,197.38841
112.358085,114,198.558472
101.607488,103,198.59852
105.451702,107,199.741987
125.221427,127,199.787557
137.159474,139,200.971981
113.359872,115,201.010725
118.321088,120,202.158235
274.847053,278,203.38638
496.305192,500,205.874076
276.562447,279,207.087472
333.157627,336,208.347341
189.839425,192,209.553715
127.271923,129,209.601797
128.144263,130,210.783881
115.386271,117,210.826719
467.465006,471,213.247396
205.839986,208,214.471932
126.343575,128,214.518501
13.94106,15,214.522702
299.236814,302,216.920823
352.131749,356,218.195291
122.223807,124,218.234787
495.765465,500,220.695423
93.607969,95,221.873769
15.931226,17,221.878778
88.655879,90,221.91834
85.757009,87,223.093556
233.893442,236,223.174962
497.195247,500,225.648931
35.957978,37,226.820989
112.513875,114,226.860964
105.454921,107,226.899113
13.048113,14,228.074916
497.02213,500,229.392856
168.13283,170,230.611432
496.283997,500,233.096413
400.405459,404,235.551883
121.278275,123,235.593938
122.316773,124,236.776308
114.313278,116,236.819865
114.39307,116,238.023087
104.401531,106,238.066484
104.409123,106,238.098638
496.828764,500,240.619043
496.206129,500,243.184834
124.321167,126,244.423382
146.036255,148,244.478947
166.810855,169,245.722286
496.519474,500,248.321818
29.783956,31,248.331494
286.895784,290,249.65644
496.860561,500,252.219482
495.922216,500,254.850746
496.805062,500,257.478062
164.989614,167,258.809545
123.367428,125,258.854853
168.908247,171,260.124552
99.519795,101,260.164582
107.581108,109,261.406856
43.916338,45,261.426881
11.990678,13,261.430889
496.653714,500,264.066905
496.907106,500,266.691833
496.770824,500,269.361746
194.611032,197,270.542496
496.901528,500,272.502803
102.495737,104,272.537778
33.957406,35,272.544777
99.505271,101,272.564317
35.865032,37,273.407624
320.225305,323,274.388852
83.520682,85,274.408876
199.518475,202,275.406746
164.005623,166,276.318681
212.739346,215,276.380056
174.121526,176,277.319563
393.364189,397,279.37417
124.290449,126,279.412621
364.850425,368,281.529704
134.272868,136,281.583813
116.470528,118,282.680367
102.518673,104,282.711896
99.53187,101,282.74583
33.999249,35,283.797046
193.839466,196,283.84991
174.090645,176,284.951267
117.445816,119,284.991422
105.444627,107,286.056126
23.944993,25,286.07015
101.446285,103,286.106204
124.260134,126,287.201599
136.18723,138,287.243643
285.581051,288,289.52163
123.342419,125,289.560464
232.189465,235,290.758111
247.334299,250,291.951169
104.484766,106,291.976695
85.758291,87,293.107678
17.009444,18,293.112678
19.948048,21,293.119092
22.049437,23,293.126597
15.010713,16,293.131597
89.707713,91,293.163632
109.669397,111,294.299895
218.593974,221,295.496532
131.205339,133,295.523003
120.208445,122,296.683833
33.916074,35,296.692348
95.629852,97,296.722415
87.690353,89,296.745656
98.477997,100,297.936916
97.498321,99,297.961328
107.489199,109,299.066507
31.875981,33,299.07251
34.916186,36,299.080014
39.986106,41,299.087522
112.570814,114,300.192371
12.049384,13,300.194372
101.514989,103,300.220887
103.567619,105,300.253477
184.798247,187,301.354548
139.178859,141,302.48855
15.064642,16,302.493551
93.6601,95,302.517895
96.708399,98,303.618505
346.372188,350,304.820435
109.327229,111,304.856008
496.775693,500,307.226459
376.779474,380,309.504712
130.256257,132,309.546198
156.175195,158,310.641513
137.355773,139,310.681556
104.484494,106,311.77855
104.517496,106,311.813438
241.94745,244,313.038434
304.643718,307,314.233641
496.572478,500,316.533628
93.622473,95,317.622395
16.886267,18,317.624899
147.212355,149,317.660329
240.872075,243,318.832686
66.707935,68,319.931274
270.717519,273,321.142489
129.281601,131,321.183097
105.312392,107,322.321592
94.554552,96,322.340654
99.417401,101,322.362387
9.969476,11,322.365416
94.612802,96,323.439301
18.002664,19,323.4433
16.059714,17,323.446336
28.974204,30,323.45334
23.970491,25,323.459662
12.060523,13,323.462223
95.510927,97,324.603981
50.924882,52,324.620508
9.963227,11,324.624012
46.879652,48,324.638313
18.959063,20,324.644825
28.882193,30,324.65484
83.712591,85,325.88595
309.195494,312,327.199427
114.363266,116,327.232504
152.200964,154,328.430385
20.036542,21,328.436398
95.581747,97,328.462426
95.55905,97,329.627206
100.412057,102,329.659253
98.454816,100,329.687268
91.549824,93,330.804939
31.945022,33,330.814955
11.938912,13,330.819467
89.623873,91,330.844685
10.074737,11,330.849195
427.741526,431,333.300738
92.602404,94,333.334665
90.649787,92,334.502304
32.994846,34,334.51232
88.676178,90,334.542375
15.928914,17,334.54839
18.969323,20,334.554899
95.578021,97,335.691561
97.485063,99,335.711584
99.485142,101,336.930219
110.407025,112,337.267455
108.415016,110,337.301622
134.304517,136,338.510393
125.347152,127,338.550467
88.756903,90,339.708247
87.825957,89,339.734789
88.811098,90,340.92616
106.407367,108,340.962708
14.964319,16,340.967218
100.438419,102,340.994757
86.642962,88,342.194951
21.902907,23,342.202456
15.029816,16,342.207472
24.898252,26,342.213973
12.916407,14,342.214976
33.894176,35,342.223503
50.909258,52,342.234012
82.760044,84,343.394722
88.666558,90,343.416255
95.687757,97,343.434783
20.924416,22,344.564765
28.987817,30,344.571273
113.382207,115,344.599366
110.45795,112,345.815056
124.339036,126,345.841285
127.177687,129,347.036299
165.902495,168,347.092383
177.032431,179,348.326464
18.042175,19,348.33297
33.856528,35,348.342981
92.679792,94,348.369544
120.302194,122,349.519265
122.317876,124,349.558316
418.394929,421,351.961241
49.920721,51,351.977272
107.557536,109,353.188474
91.604614,93,354.057404
98.593289,100,354.09045
32.94032,34,355.221481
99.499533,101,355.256378
94.583606,96,355.281422
146.283097,148,356.487666
146.221842,148,357.660329
89.571303,91,357.683872
92.662846,94,357.711421
90.621936,92,358.861231
113.445012,115,358.884766
111.327168,113,360.081379
122.333987,124,360.125138
132.309172,134,361.280039
107.377577,109,361.304904
104.463509,106,361.341459
128.155677,130,362.511351
128.308213,130,362.544919
16.928436,18,362.551427
129.282952,131,363.789277
124.272029,126,363.818321
98.546715,100,365.003827
207.956899,210,366.23852
243.692776,246,367.482473
119.352363,121,367.513702
135.162392,137,368.711311
18.936399,20,368.716326
135.279992,137,368.757394
271.542523,274,369.946395
98.532673,100,371.204917
22.91002,24,371.211424
10.974504,12,371.214934
92.659848,94,371.236972
16.03442,17,371.240972
95.504551,97,372.397309
