#{"t_start": 1777558614.22294, "env_id": "LunarLander-v3"}
r,l,t
-75.236771,89,0.021
-179.722719,99,0.028
-240.540969,99,0.035
-129.293407,101,0.044
12.302069,73,0.053
-181.663568,111,0.065
-125.807181,70,0.073
-83.275378,101,0.085
-57.911781,94,0.095
-18.58788,74,0.104
-187.422862,102,0.117
-199.835081,77,0.125
-172.813189,94,0.135106
-356.266189,116,0.142106
-112.778088,59,0.154107
-268.248127,99,0.165107
-165.117711,103,0.176107
-220.524817,86,0.181107
-154.202939,72,0.185107
-122.315746,83,0.190107
-125.416505,79,0.194107
-410.431766,117,0.201222
-291.373677,104,0.208222
-29.778003,129,0.215339
-57.523548,135,0.223337
-184.074109,76,0.227337
-269.959034,85,0.232337
-103.668663,100,0.238337
-121.441516,88,0.243337
-171.80721,86,0.248337
-255.107047,117,0.255337
-72.954426,73,0.259337
-295.06913,126,0.269337
-77.497652,60,0.273337
-345.433229,88,0.278337
-102.374729,75,0.28334
-108.63971,90,0.288337
-281.717836,120,0.295337
-133.774602,68,0.300337
-89.172839,67,0.304337
-207.574191,65,0.307337
-130.376242,132,0.316338
-128.637442,90,0.321337
-100.644036,65,0.326337
-319.840953,92,0.331338
-118.591705,123,0.338337
-439.109931,128,0.345336
-133.518763,73,0.350403
-99.607759,63,0.353403
-113.373997,94,0.359403
-121.165457,81,0.363412
-192.970745,107,0.36945
-376.377375,98,0.375403
-283.718415,116,0.385459
-107.218942,77,0.391455
-261.879918,101,0.396455
-76.225555,116,0.403455
-270.515936,126,0.410455
-144.321281,65,0.415456
-211.513914,74,0.419455
-248.179958,126,0.426456
-74.356307,59,0.430456
-97.732632,75,0.434455
-450.280463,88,0.439455
-31.585511,109,0.446455
-70.575943,81,0.451455
-126.873294,87,0.456455
-202.617965,69,0.460455
-287.42364,114,0.467455
-64.748304,60,0.470455
-85.732602,61,0.474455
-79.510957,62,0.477455
-133.356674,96,0.483503
-242.598846,65,0.487503
-68.172802,78,0.492502
-66.994384,117,0.499536
-122.680405,121,0.510535
-155.156419,123,0.518536
-105.783019,72,0.522535
-161.526831,61,0.526535
-170.17176,56,0.530536
-413.887469,97,0.536535
-345.144115,103,0.541535
-165.848606,98,0.547536
-247.056795,116,0.554569
-305.649248,78,0.558569
-281.920974,88,0.56357
-201.161711,92,0.569617
-86.091372,172,0.579617
-108.263594,67,0.583617
-151.154112,74,0.587617
-521.27977,101,0.593617
-65.523252,73,0.597616
-375.782502,89,0.602653
-99.133903,90,0.608653
-109.193321,62,0.611652
-151.896364,79,0.61669
-112.263775,74,0.62169
-183.156976,95,0.62669
-122.299891,74,0.636818
-87.70113,77,0.640816
-198.815646,79,0.645817
-231.638807,117,0.652817
-79.222926,68,0.656817
-88.056705,60,0.659817
-309.850993,97,0.665817
-243.899257,90,0.671817
-218.789046,104,0.676817
-137.624465,121,0.684873
-98.475792,65,0.688874
-114.819347,123,0.722872
61.605024,1000,1.195852
-70.214338,70,1.221851
-185.404077,108,1.277051
-25.450932,106,1.327114
-109.599112,95,1.358164
-103.506604,101,1.391164
-123.789004,90,1.427381
40.882424,83,1.457381
-241.269929,86,1.504494
-98.566133,102,1.553567
-83.325799,82,1.600023
-100.592734,66,1.634206
-219.161546,113,1.681442
-137.309644,104,1.726439
-91.708004,113,1.792568
-65.320529,97,1.826616
-180.117333,120,1.893891
-236.457315,99,1.927935
-139.445267,94,1.960996
-135.017282,95,2.00019
-137.249879,78,2.02719
-124.878158,71,2.068355
-98.73474,88,2.118358
-53.177519,100,2.168537
-184.857928,57,2.203651
-140.262374,91,2.234457
-72.942974,108,2.298257
-301.433388,89,2.336297
-239.589848,70,2.377466
-132.970834,113,2.435566
-117.726951,97,2.487708
-175.363107,116,2.544823
-36.008172,114,2.586956
-272.046741,85,2.617019
-128.524262,88,2.655757
-54.610073,77,2.699836
-208.643702,119,2.765902
-117.384267,80,2.811168
-94.511379,111,2.858282
42.013219,102,2.894282
-155.01264,62,2.93135
-94.671817,104,2.980435
-78.495716,83,3.025011
-107.713366,63,3.058013
-76.314072,82,3.091025
-317.922271,97,3.12609
-89.321871,71,3.159263
-97.412791,116,3.221374
-101.54999,86,3.250422
-151.454496,64,3.272422
-134.419721,112,3.330482
-21.156077,79,3.370526
-133.510521,60,3.408726
-295.401709,145,3.455815
-156.485382,141,3.506115
-347.923328,158,3.589341
-280.251921,98,3.647705
-114.07997,74,3.687818
-125.667937,67,3.712818
-116.863953,65,3.740947
-106.352778,116,3.805947
-177.59107,98,3.852987
-134.174845,147,3.9097
-59.452332,112,3.970743
-154.29804,74,3.997789
-99.846135,69,4.020959
-126.246684,77,4.060004
-75.144625,116,4.109146
-74.629723,67,4.14821
-466.814929,112,4.207371
-134.254929,101,4.243415
-107.363428,78,4.278415
-190.026141,115,4.347666
-99.374018,75,4.371666
-185.964512,75,4.400855
-134.141512,88,4.45197
-106.088692,135,4.519136
-39.55921,85,4.566241
-200.440975,106,4.615817
-187.852549,85,4.654817
-110.058318,134,4.730977
-71.421153,89,4.767977
-138.766167,70,4.808151
-159.019488,119,4.884219
-123.15243,109,4.930291
-283.598706,71,4.972598
-112.510678,94,5.023873
-82.632695,84,5.047873
-244.110458,107,5.096972
-159.769347,92,5.129083
-100.71922,121,5.189195
-74.261749,91,5.221195
-90.119656,124,5.276272
-20.767272,127,5.329318
-86.389034,135,5.399582
-163.607593,116,5.442586
-135.770916,95,5.481643
-134.479208,107,5.529852
-151.037185,140,5.60001
-52.993546,79,5.638141
-236.705981,87,5.67014
-77.303227,100,5.726181
-168.328018,76,5.762393
-130.910183,88,5.804529
-162.112314,77,5.853665
-140.113896,96,5.900812
-155.71904,95,5.945812
-83.502801,116,5.999062
-100.252199,100,6.056292
-121.159987,86,6.093459
-357.717067,133,6.153503
-90.526293,116,6.205816
-80.319925,118,6.268987
-107.783556,106,6.320117
-62.135744,67,6.357091
-147.78899,64,6.391133
-108.863107,109,6.438184
-133.986422,108,6.491304
-92.298408,118,6.55555
-238.461091,138,6.623704
-456.247498,128,6.671758
-119.624582,75,6.717811
-57.605316,64,6.747811
-107.607939,116,6.795886
-373.881298,77,6.832886
-173.748741,105,6.877015
-259.5559,89,6.926196
-73.757369,69,6.964377
-97.801532,60,6.986377
-393.893211,84,7.026377
-248.213248,76,7.073426
-212.923292,104,7.123535
-107.26374,124,7.188535
-162.093088,116,7.226701
-39.930566,105,7.262865
-149.277571,85,7.308043
-88.851226,117,7.362216
-257.04299,84,7.414491
-104.478451,91,7.449612
-138.223573,65,7.471611
-91.844462,108,7.537731
-93.982739,66,7.568007
-195.071209,118,7.611007
-112.952995,94,7.671117
-76.953479,84,7.707759
-267.304222,94,7.768021
-130.413142,79,7.799132
-93.445133,64,7.828132
-44.184493,85,7.879175
20.929657,88,7.913175
-75.148746,137,7.978237
-159.45364,113,8.047302
-230.51875,99,8.100554
-66.511115,58,8.124555
-157.732771,89,8.156244
-131.88643,64,8.185212
-71.577301,61,8.204212
-107.638682,84,8.241271
-103.599862,140,8.290317
-65.574597,73,8.320317
-111.976642,64,8.343318
-115.677104,87,8.380399
-88.455175,103,8.442642
-112.559357,133,8.506803
-60.201868,103,8.549862
-135.925373,118,8.591926
-102.021083,87,8.628006
-258.926484,115,8.669232
-238.595626,108,8.734371
-154.160974,98,8.768372
-96.331892,117,8.836615
-61.912657,69,8.868615
-97.759897,108,8.931046
-348.369788,89,8.976172
-95.535139,113,9.041296
