#{"t_start": 1777565293.870536, "env_id": "MiniGrid-Empty-5x5-v0"}
r,l,t
-3.6575,100,0.043997
-3.67,100,0.070997
-3.835,100,0.094035
-3.6775,100,0.125176
-3.9325,100,0.142177
-3.8875,100,0.161175
-1.7265,71,0.174176
-4.0725,100,0.196221
-3.8825,100,0.224329
-3.88,100,0.24733
-2.831,89,0.290386
0.244,34,0.315501
-2.74,95,0.375633
-3.845,100,0.45602
-3.4825,100,0.520256
-3.9325,100,0.593431
0.856,21,0.604528
-3.9625,100,0.669525
-1.769,71,0.716526
-3.6775,100,0.794979
1.034,19,0.804976
-3.9825,100,0.880147
-3.635,100,0.955305
-3.76,100,1.026534
-4.2825,100,1.105795
0.297,32,1.130872
0.8045,22,1.144875
-3.9075,100,1.21365
-3.8025,100,1.288936
1.121,16,1.298933
-4.0925,100,1.380089
-4.27,100,1.438229
-4.0475,100,1.523494
-1.929,71,1.575694
-0.1325,40,1.597697
-3.795,100,1.667219
-4.43,100,1.734366
-4.05,100,1.823773
-4.3175,100,1.903049
-1.0405,57,1.938044
-4.09,100,1.999253
-2.141,79,2.051192
-0.8155,52,2.089399
-4.0625,100,2.160632
0.3085,31,2.185816
-0.8945,53,2.237056
-1.1035,59,2.281108
-1.893,72,2.341325
-0.2045,43,2.381325
-3.63,100,2.467705
-1.7855,72,2.527004
-1.955,75,2.585204
-3.68,100,2.667658
-1.0765,61,2.702725
0.2275,35,2.727854
-1.43,65,2.782031
0.886,21,2.796031
-3.705,100,2.876402
-1.218,62,2.928652
0.954,19,2.941656
-2.7665,91,3.009905
-3.83,100,3.097115
-0.2365,41,3.129246
-3.82,100,3.217695
-3.73,100,3.302009
-3.855,100,3.373181
-0.415,45,3.404711
-0.1215,41,3.444828
-0.414,46,3.48907
-4.0175,100,3.576296
-3.9225,100,3.662728
-3.9975,100,3.744929
-0.7215,51,3.785226
-3.3935,99,3.847507
-1.6245,68,3.901628
0.1075,35,3.926674
-3.51,100,3.996107
0.257,32,4.017107
-0.55,50,4.048107
-1.6945,68,4.108418
-2.0465,76,4.166606
-2.0,75,4.239787
0.11,35,4.26091
-3.8675,100,4.340359
-3.8575,100,4.412769
0.5305,28,4.44493
-3.985,100,4.543537
-0.2855,42,4.570536
-1.1375,60,4.611693
0.1275,35,4.642806
-2.8265,91,4.718412
-3.81,100,4.806691
-3.82,100,4.879041
-0.4165,46,4.910041
-1.8465,71,4.978241
-0.381,44,5.019366
-3.935,100,5.096592
1.2465,14,5.106591
-3.655,100,5.186787
-2.877,93,5.263916
-0.0965,41,5.301156
-4.2725,100,5.376445
0.5245,27,5.398584
-0.7535,54,5.442815
0.5705,28,5.466943
-3.2085,99,5.546472
-0.4675,45,5.586772
-0.6135,49,5.633046
0.4855,28,5.65605
-3.9525,100,5.735334
-3.5675,100,5.809484
-3.7675,100,5.880003
0.492,27,5.900003
0.572,27,5.92619
-3.8125,100,6.010363
0.803,23,6.029502
-1.318,62,6.089753
-4.115,100,6.172568
-0.4285,44,6.21072
0.228,33,6.23472
-3.9775,100,6.311579
0.4375,30,6.334083
0.989,19,6.352211
-3.059,96,6.433102
-3.83,100,6.51741
-3.86,100,6.601593
-1.913,72,6.662718
-3.69,100,6.758086
-0.5235,49,6.806304
-4.0275,100,6.881494
-1.31,60,6.927634
-1.113,57,6.964756
-1.8235,69,7.013812
-2.9305,92,7.088161
-3.8575,100,7.177373
-1.3345,63,7.222656
-3.9325,100,7.289069
-4.1325,100,7.379445
-4.26,100,7.471879
-1.538,67,7.521746
-4.0175,100,7.591855
-4.205,100,7.663134
-0.885,55,7.701307
-0.085,40,7.737593
0.4365,29,7.763698
-4.0025,100,7.835
-1.21,60,7.892154
-3.885,100,7.965395
-3.8875,100,8.048646
-4.18,100,8.129409
-3.9325,100,8.22194
-3.8225,100,8.321466
-4.04,100,8.400852
-3.6325,100,8.470137
-3.8075,100,8.554365
-2.2925,80,8.609614
-0.6375,50,8.653181
-3.9975,100,8.727143
-0.0925,40,8.77121
-3.9425,100,8.843473
-0.69,50,8.880541
-4.015,100,8.95779
-4.555,100,9.047985
-3.7975,100,9.125093
-4.1675,100,9.195559
-3.985,100,9.283895
-2.8645,88,9.367076
-3.8525,100,9.459247
-1.6685,69,9.504566
1.082,17,9.519688
-2.518,82,9.585037
-4.415,100,9.66834
-4.06,100,9.745769
-1.6545,68,9.803886
0.9475,20,9.822933
-2.712,88,9.8911
-0.0785,39,9.918239
-0.895,55,9.967403
-3.7375,100,10.046609
-1.058,57,10.097847
-1.3755,62,10.148141
-3.8375,100,10.228003
1.3155,13,10.243126
-3.9925,100,10.332478
-3.56,100,10.411993
-3.7075,100,10.484224
-4.305,100,10.563349
-1.5475,65,10.614756
-4.045,100,10.711697
-0.72,50,10.758969
-1.339,61,10.802098
0.356,31,10.825172
-3.85,100,10.915438
-2.428,82,10.98278
-4.1925,100,11.079047
-1.466,64,11.121186
-3.99,100,11.19576
-1.466,64,11.25599
-3.965,100,11.324082
-3.6825,100,11.424645
-3.8675,100,11.5227
-3.7525,100,11.59396
-3.6875,100,11.657181
1.278,13,11.66418
0.1335,36,11.688381
-3.7375,100,11.758726
-2.992,93,11.81701
-3.7275,100,11.908492
-4.2025,100,11.980739
-1.81,70,12.029941
0.91,20,12.043005
-2.973,92,12.125325
-0.228,42,12.161584
-3.9925,100,12.256059
-0.709,51,12.294227
-1.1105,57,12.334374
-1.2915,61,12.375456
-4.085,100,12.452826
-0.0105,37,12.480882
-4.2575,100,12.56018
-4.0625,100,12.643533
0.415,30,12.662534
0.576,26,12.681601
0.7415,24,12.697764
-3.905,100,12.780897
-4.06,100,12.86418
-0.33,45,12.906298
-1.256,59,12.956129
-3.745,100,13.051553
-1.787,68,13.098553
-3.8925,100,13.184945
0.9815,19,13.198945
1.46,10,13.204945
-3.98,100,13.279274
-1.913,72,13.342417
-4.185,100,13.412925
-2.467,83,13.489416
-4.1475,100,13.581722
-3.985,100,13.66913
-4.01,100,13.770626
-4.0025,100,13.861996
0.5255,28,13.881076
-3.9175,100,13.970376
-4.1175,100,14.041946
-4.0175,100,14.132491
-2.064,76,14.196798
-4.0925,100,14.283413
-3.795,100,14.368132
-3.8275,100,14.449388
-0.814,51,14.47953
-3.4595,98,14.5711
-4.5025,100,14.645798
-4.355,100,14.732121
1.17,15,14.743119
-3.8425,100,14.813414
-4.1075,100,14.913619
-1.1545,58,14.974751
-1.776,69,15.022932
-4.04,100,15.103159
-4.0725,100,15.194815
-4.0875,100,15.276361
-3.74,100,15.358539
-4.275,100,15.43595
-3.895,100,15.52033
1.21,15,15.52933
-3.7875,100,15.610914
-3.845,100,15.695574
0.052,37,15.727746
-3.835,100,15.801088
-4.2775,100,15.883428
-3.805,100,15.961579
