#{"t_start": 1777563099.7796097, "env_id": "MiniGrid-Empty-5x5-v0"}
r,l,t
-5.0,100,0.034051
-5.0,100,0.05305
-5.0,100,0.072096
-5.0,100,0.09748
-5.0,100,0.126552
-5.0,100,0.151657
-3.189,71,0.165703
-5.0,100,0.18375
-5.0,100,0.20075
-5.0,100,0.226792
-4.251,89,0.271846
-1.006,34,0.292895
-4.605,95,0.361132
-5.0,100,0.439842
-1.537,43,0.476954
-5.0,100,0.552389
-5.0,100,0.637835
-5.0,100,0.705601
-1.183,37,0.728826
-4.546,94,0.805997
-1.36,40,0.831127
-0.711,29,0.850308
-5.0,100,0.922426
-5.0,100,0.990708
-4.841,99,1.066109
-5.0,100,1.139266
-2.009,51,1.178856
-4.841,99,1.254333
0.056,16,1.272372
-1.891,49,1.313527
-5.0,100,1.395784
-5.0,100,1.468134
-5.0,100,1.54757
-3.779,81,1.606568
-5.0,100,1.685099
-5.0,100,1.762644
-5.0,100,1.842877
-3.071,69,1.893371
-1.537,43,1.919369
-2.186,54,1.953554
-5.0,100,2.025816
-0.475,25,2.040953
-2.068,52,2.079378
-5.0,100,2.15649
-3.602,78,2.217818
-3.189,71,2.259941
-5.0,100,2.343165
-0.475,25,2.357159
-5.0,100,2.445305
-2.009,51,2.487416
-5.0,100,2.587182
-2.068,52,2.635334
-5.0,100,2.720635
-0.888,32,2.742686
-0.711,29,2.760739
0.115,15,2.7748
-1.124,36,2.797794
-1.773,47,2.844267
-1.065,35,2.868381
-2.304,56,2.90944
-1.537,43,2.94056
-2.304,56,2.992954
-0.652,28,3.014954
0.469,9,3.022954
-1.183,37,3.044076
-3.897,83,3.109556
-4.9,100,3.189757
-1.478,42,3.226898
-3.602,78,3.287212
-0.003,17,3.302212
-0.18,20,3.321377
-1.006,34,3.350746
-3.012,68,3.398006
-2.953,67,3.447313
-0.829,31,3.468369
-5.0,100,3.549733
0.351,11,3.561733
-0.534,26,3.583912
-1.183,37,3.604918
-1.891,49,3.640177
-2.304,56,3.695354
-1.065,35,3.721478
-5.0,100,3.812059
-3.366,74,3.87837
-1.006,34,3.908368
0.646,6,3.915409
-1.006,34,3.940557
-5.0,100,4.027888
0.056,16,4.036965
-0.357,23,4.051103
-3.012,68,4.090279
0.351,11,4.103278
-1.478,42,4.139472
-2.068,52,4.172383
-0.888,32,4.191121
-2.953,67,4.250292
0.174,14,4.264417
-0.003,17,4.279465
0.233,13,4.288464
-0.416,24,4.302464
-1.419,41,4.336591
-1.537,43,4.376761
-0.239,21,4.395872
-0.003,17,4.411928
-4.723,97,4.483333
0.469,9,4.493345
-1.714,46,4.541009
-2.422,58,4.595222
-1.006,34,4.625289
0.174,14,4.637352
-3.602,78,4.71364
0.233,13,4.72064
0.115,15,4.734698
0.41,10,4.743698
-0.829,31,4.778827
-0.003,17,4.794829
-1.183,37,4.827887
-1.419,41,4.856992
-1.006,34,4.885045
0.233,13,4.897045
-1.891,49,4.944206
0.646,6,4.949258
-0.121,19,4.965297
-0.475,25,4.985372
0.528,8,4.993368
-0.003,17,5.009369
-3.248,72,5.075775
0.646,6,5.081834
-3.13,70,5.141886
-1.006,34,5.17408
0.469,9,5.182125
-1.065,35,5.218124
-0.18,20,5.231183
-0.121,19,5.244182
-3.012,68,5.30158
0.174,14,5.316709
0.115,15,5.330709
0.292,12,5.337709
0.056,16,5.347839
-0.77,30,5.365981
0.056,16,5.37698
-1.832,48,5.410127
-0.121,19,5.421757
0.41,10,5.433338
-0.77,30,5.453337
-0.888,32,5.482608
-2.186,54,5.529196
0.351,11,5.538034
-0.239,21,5.569144
0.41,10,5.575144
-4.487,93,5.655393
-1.124,36,5.685396
-0.652,28,5.703397
-0.239,21,5.72253
-0.18,20,5.740644
-3.012,68,5.801829
-0.357,23,5.821959
-2.481,59,5.876176
-0.121,19,5.887175
-1.596,44,5.914281
-0.062,18,5.92845
-0.593,27,5.954563
-0.416,24,5.97982
-0.652,28,5.999819
0.233,13,6.010819
-0.003,17,6.028098
0.528,8,6.036357
-0.77,30,6.063598
0.528,8,6.071597
0.528,8,6.079819
0.292,12,6.091818
-0.239,21,6.103818
0.469,9,6.110818
-0.062,18,6.122946
-0.534,26,6.141079
-0.357,23,6.154246
0.351,11,6.162427
-1.596,44,6.198555
-0.003,17,6.214556
0.174,14,6.229617
0.056,16,6.239621
-0.239,21,6.251765
0.056,16,6.260765
-0.121,19,6.271897
-0.357,23,6.294115
-1.006,34,6.321265
0.351,11,6.329265
-0.829,31,6.351402
-0.003,17,6.367459
0.115,15,6.382513
-1.242,38,6.409512
-0.416,24,6.43662
-0.534,26,6.464818
0.646,6,6.469819
-0.593,27,6.491873
0.056,16,6.501874
-0.475,25,6.515939
-2.54,60,6.57315
-0.947,33,6.605356
-0.77,30,6.636467
-1.124,36,6.667468
0.528,8,6.673468
0.292,12,6.686537
-1.006,34,6.718599
-1.301,39,6.746806
0.41,10,6.761806
0.056,16,6.776805
-0.121,19,6.792873
-0.947,33,6.82
0.233,13,6.827
0.233,13,6.834112
0.587,7,6.839113
0.115,15,6.851176
-0.298,22,6.873342
-0.18,20,6.891663
0.528,8,6.896678
-0.357,23,6.911852
-0.121,19,6.929966
0.174,14,6.941965
0.528,8,6.949217
0.469,9,6.956216
0.056,16,6.970346
0.174,14,6.985514
0.351,11,6.993515
0.233,13,7.001515
0.292,12,7.012598
0.174,14,7.024598
-0.003,17,7.043638
-0.298,22,7.063725
-0.475,25,7.088836
-0.121,19,7.100836
0.233,13,7.107836
0.351,11,7.118886
0.41,10,7.129932
0.528,8,7.137932
0.115,15,7.150042
0.587,7,7.157042
-0.18,20,7.175158
-0.652,28,7.203205
0.587,7,7.208205
-0.18,20,7.221205
0.705,5,7.224205
0.469,9,7.232383
0.233,13,7.247585
-0.18,20,7.26575
0.233,13,7.277749
-1.242,38,7.313791
-0.062,18,7.330923
0.469,9,7.33692
0.587,7,7.34292
0.351,11,7.349987
0.528,8,7.354987
-0.18,20,7.367055
0.351,11,7.373055
-0.003,17,7.385131
-0.298,22,7.397127
0.587,7,7.402126
-1.124,36,7.430308
-0.18,20,7.443308
0.646,6,7.446308
-0.77,30,7.47237
0.587,7,7.47737
0.292,12,7.485548
0.292,12,7.493547
0.351,11,7.499547
-0.475,25,7.51771
0.174,14,7.528764
-0.416,24,7.544763
0.233,13,7.557764
-2.481,59,7.613931
0.115,15,7.624934
0.351,11,7.632071
0.292,12,7.645065
0.292,12,7.653064
-1.183,37,7.675123
-0.121,19,7.688243
0.41,10,7.694243
-1.36,40,7.728421
0.469,9,7.737421
-0.652,28,7.764541
-2.422,58,7.800604
0.233,13,7.807604
0.469,9,7.812716
0.469,9,7.819715
0.587,7,7.822715
-0.357,23,7.836762
0.469,9,7.842763
-0.298,22,7.86886
-3.72,80,7.934
-0.357,23,7.950047
-0.357,23,7.973089
0.587,7,7.979089
-0.357,23,7.99409
0.469,9,8.000091
-0.534,26,8.018178
-0.534,26,8.03325
0.292,12,8.04125
-2.481,59,8.087525
0.528,8,8.093525
0.233,13,8.101524
0.056,16,8.11358
0.469,9,8.11858
0.587,7,8.12258
0.41,10,8.131634
-0.416,24,8.145806
0.528,8,8.151806
0.528,8,8.157805
-0.711,29,8.180961
-0.416,24,8.20696
0.233,13,8.21896
-0.18,20,8.235017
-2.304,56,8.274013
0.233,13,8.282057
0.174,14,8.293056
0.292,12,8.306057
-0.18,20,8.325056
-0.534,26,8.347367
-0.829,31,8.36546
-0.003,17,8.376458
0.115,15,8.387548
0.351,11,8.395547
0.587,7,8.403543
-2.304,56,8.449777
-0.062,18,8.46183
0.233,13,8.470829
0.351,11,8.478889
0.41,10,8.486888
-0.593,27,8.503887
-0.298,22,8.518945
0.469,9,8.530943
0.646,6,8.535943
0.233,13,8.543943
0.469,9,8.549943
0.056,16,8.562009
-0.003,17,8.578058
-0.888,32,8.610057
-0.18,20,8.627119
0.528,8,8.638195
0.705,5,8.647195
0.41,10,8.656195
-0.416,24,8.680304
-0.062,18,8.697303
0.351,11,8.703303
0.528,8,8.708303
