episode,reward,length
1,18.962159,20
2,20.135703,21
3,30.962256,32
4,15.977176,17
5,27.074361,28
6,53.912379,55
7,34.932057,36
8,27.923529,29
9,24.92482,26
10,25.963268,27
11,22.080315,23
12,44.820331,46
13,29.922212,31
14,14.959277,16
15,14.089081,15
16,15.991046,17
17,13.141894,14
18,11.156561,12
19,12.125771,13
20,24.0941,25
21,8.054786,9
22,12.9681,14
23,13.015938,14
24,15.979527,17
25,24.031684,25
26,10.114562,11
27,16.148475,17
28,16.978672,18
29,10.070958,11
30,10.190923,11
31,16.148804,17
32,13.189006,14
33,9.00827,10
34,29.048464,30
35,24.114426,25
36,9.054974,10
37,14.009018,15
38,52.820213,54
39,28.05398,29
40,14.106753,15
41,17.93429,19
42,48.940053,50
43,21.906433,23
44,9.02529,10
45,17.104563,18
46,19.932083,21
47,14.170294,15
48,55.919694,57
49,12.120751,13
50,21.037627,22
51,9.19983,10
52,18.047353,19
53,38.925167,40
54,12.984211,14
55,22.037528,23
56,12.056996,13
57,21.067469,22
58,31.051823,32
59,12.093756,13
60,26.913874,28
61,9.070531,10
62,9.097655,10
63,30.976655,32
64,20.077188,21
65,25.908671,27
66,23.094096,24
67,41.110739,42
68,33.962572,35
69,93.598752,95
70,31.959976,33
71,27.894977,29
72,12.154076,13
73,26.993586,28
74,17.096877,18
75,63.869817,65
76,56.740107,58
77,16.059671,17
78,20.081994,21
79,23.961842,25
80,13.035378,14
81,16.05717,17
82,16.030543,17
83,25.048791,26
84,30.885667,32
85,14.009565,15
86,31.993001,33
87,24.953432,26
88,10.137699,11
89,36.98988,38
90,17.110589,18
91,16.944915,18
92,16.079989,17
93,35.927347,37
94,12.094042,13
95,14.135263,15
96,47.859398,49
97,19.053294,20
98,9.075092,10
99,38.954116,40
100,14.067598,15
101,28.109462,29
102,11.963049,13
103,22.009891,23
104,30.935073,32
105,15.131075,16
106,49.958726,51
107,33.91876,35
108,26.928471,28
109,22.053975,23
110,10.022008,11
111,38.777511,40
112,14.091622,15
113,21.141524,22
114,20.930859,22
115,39.922183,41
116,126.387117,128
117,16.164409,17
118,41.794866,43
119,39.001333,40
120,71.722098,73
121,19.919433,21
122,24.9397,26
123,14.945093,16
124,12.054072,13
125,37.910917,39
126,32.984989,34
127,51.874892,53
128,14.035135,15
129,46.767372,48
130,11.124886,12
131,25.890174,27
132,11.993405,13
133,28.031239,29
134,28.843255,30
135,20.935836,22
136,62.823837,64
137,17.148255,18
138,53.746285,55
139,29.835798,31
140,25.019276,26
141,17.104852,18
142,25.932913,27
143,15.957491,17
144,51.894628,53
145,31.849343,33
146,18.054179,19
147,30.864775,32
148,89.57231,91
149,49.891056,51
150,59.7491,61
151,28.987071,30
152,19.091117,20
153,32.978106,34
154,36.796978,38
155,26.94438,28
156,18.16153,19
157,28.061388,29
158,20.982138,22
159,53.852657,55
160,28.953133,30
161,21.02439,22
162,31.036262,32
163,67.757411,69
164,18.142157,19
165,22.949292,24
166,21.927298,23
167,13.17249,14
168,12.173762,13
169,37.954928,39
170,52.956746,54
171,13.990952,15
172,70.784576,72
173,20.024551,21
174,29.944358,31
175,24.010844,25
176,92.635819,94
177,27.908,29
178,11.007992,12
179,16.151904,17
180,18.029838,19
181,25.960039,27
182,83.62924,85
183,30.008101,31
184,27.972892,29
185,52.783002,54
186,41.995256,43
187,20.033664,21
188,139.415728,141
189,21.123473,22
190,16.936706,18
191,16.184391,17
192,74.643805,76
193,152.421232,154
194,30.839959,32
195,98.533727,100
196,24.013118,25
197,21.002222,22
198,13.00325,14
199,27.968374,29
200,14.13121,15
201,14.087955,15
202,24.024615,25
203,10.076345,11
204,22.015688,23
205,59.892704,61
206,31.07026,32
207,77.76872,79
208,42.040231,43
209,33.119158,34
210,29.942274,31
211,105.391657,107
212,13.97237,15
213,23.109793,24
214,32.994033,34
215,41.824407,43
216,33.913156,35
217,79.777953,81
218,30.010911,31
219,13.196838,14
220,71.741116,73
221,46.992725,48
222,38.918139,40
223,45.981234,47
224,53.958965,55
225,110.627053,112
226,119.537449,121
227,24.044415,25
228,11.049196,12
229,25.008284,26
230,21.095114,22
231,15.001532,16
232,57.910784,59
233,10.162891,11
234,44.964881,46
235,47.885562,49
236,25.023157,26
237,50.922119,52
238,63.786656,65
239,29.018183,30
240,17.116094,18
241,12.016956,13
242,58.914705,60
243,36.053157,37
244,28.100175,29
245,80.664491,82
246,17.161895,18
247,12.173726,13
248,80.829354,82
249,19.099728,20
250,65.909507,67
251,117.742129,119
252,32.049436,33
253,18.049877,19
254,27.966228,29
255,132.642662,134
256,15.189621,16
257,17.056353,18
258,10.094122,11
259,31.061125,32
260,59.866492,61
261,80.726653,82
262,10.02672,11
263,28.902742,30
264,81.95198,83
265,166.412469,168
266,9.172674,10
267,13.156789,14
268,38.932796,40
269,13.011282,14
270,21.113903,22
271,23.054515,24
272,16.121922,17
273,42.02554,43
274,10.061805,11
275,14.055922,15
276,22.996888,24
277,291.404267,294
278,42.857431,44
279,28.922964,30
280,65.698349,67
281,72.848367,74
282,49.965991,51
283,17.07217,18
284,41.932017,43
285,91.659421,93
286,26.990541,28
287,10.045337,11
288,90.749596,92
289,141.575009,143
290,75.821809,77
291,17.162801,18
292,39.87135,41
293,28.927278,30
294,13.947717,15
295,147.39766,149
296,17.054493,18
297,92.724556,94
298,34.087222,35
299,16.125943,17
300,114.742473,116
301,23.931378,25
302,10.003629,11
303,24.965111,26
304,45.816614,47
305,11.071323,12
306,41.865016,43
307,13.137878,14
308,136.459094,138
309,141.443732,143
310,41.041943,42
311,19.936802,21
312,12.03901,13
313,11.045606,12
314,61.950205,63
315,13.088659,14
316,18.017035,19
317,115.660191,117
318,17.988965,19
319,11.044351,12
320,59.892164,61
321,20.032706,21
322,17.078905,18
323,25.148133,26
324,102.824674,104
325,11.049101,12
326,10.117226,11
327,31.886439,33
328,10.106329,11
329,12.975196,14
330,131.4521,133
331,101.88957,103
332,47.950271,49
333,12.991174,14
334,36.110891,37
335,33.963285,35
336,9.075256,10
337,21.164006,22
338,13.147749,14
339,13.051266,14
340,16.132948,17
341,12.153202,13
342,20.145174,21
343,13.070427,14
344,18.061967,19
345,15.170089,16
346,14.076189,15
347,13.178049,14
348,14.197699,15
349,23.074728,24
350,13.188948,14
351,10.025923,11
352,12.144818,13
353,11.015062,12
354,13.057356,14
355,38.086251,39
356,12.154225,13
357,20.947334,22
358,15.152777,16
359,30.000736,31
360,11.153139,12
361,9.175799,10
362,146.346268,148
363,10.179028,11
364,13.02481,14
365,12.160464,13
366,179.963701,182
367,35.057478,36
368,177.191422,179
369,201.876304,204
370,204.209725,206
371,10.020191,11
