episode,reward,length
1,18.890644,20
2,20.019434,21
3,30.840126,32
4,15.914768,17
5,26.948422,28
6,53.73615,55
7,34.813103,36
8,27.828723,29
9,24.84616,26
10,25.874115,27
11,21.965354,23
12,44.699391,46
13,29.823423,31
14,14.902338,16
15,14.003937,15
16,15.914357,17
17,13.044599,14
18,11.058997,12
19,12.024358,13
20,23.988313,25
21,7.994871,9
22,12.905861,14
23,12.944626,14
24,15.906626,17
25,23.938065,25
26,10.028585,11
27,16.045127,17
28,16.910629,18
29,10.002088,11
30,10.096666,11
31,16.050419,17
32,13.083597,14
33,8.946174,10
34,28.922015,30
35,23.987057,25
36,8.983883,10
37,13.94418,15
38,52.659396,54
39,27.928415,29
40,14.015908,15
41,17.872157,19
42,48.781576,50
43,21.832709,23
44,8.965694,10
45,16.99783,18
46,19.857017,21
47,14.056696,15
48,55.724158,57
49,12.028177,13
50,36.808491,38
51,63.632986,65
52,30.819525,32
53,33.86397,35
54,21.85902,23
55,21.948067,23
56,24.856411,26
57,14.008351,15
58,14.027375,15
59,38.766871,40
60,25.808732,27
61,9.984043,11
62,15.980422,17
63,17.953887,19
64,29.88997,31
65,19.876687,21
66,20.022026,21
67,10.098464,11
68,62.68596,64
69,59.74222,61
70,15.015876,16
71,38.722063,40
72,28.935437,30
73,16.965394,18
74,34.841483,36
75,15.025868,16
76,11.013276,12
77,16.965409,18
78,11.02936,12
79,56.620055,58
80,15.937602,17
81,22.90684,24
82,19.927602,21
83,40.834278,42
84,14.941509,16
85,22.878429,24
86,18.022453,19
87,18.890085,20
88,29.859839,31
89,9.109183,10
90,10.055662,11
91,16.885033,18
92,15.989863,17
93,35.815173,37
94,12.010577,13
95,14.042031,15
96,42.748936,44
97,19.955069,21
98,9.994,11
99,16.005422,17
100,31.872327,33
101,10.084799,11
102,16.888935,18
103,17.94713,19
104,87.469306,89
105,15.018842,16
106,40.770289,42
107,11.010843,12
108,26.840442,28
109,21.955632,23
110,9.960052,11
111,38.677947,40
112,14.002768,15
113,21.017051,22
114,20.859154,22
115,39.786083,41
116,20.906429,22
117,35.942299,37
118,20.843727,22
119,48.772668,50
120,34.759921,36
121,30.799679,32
122,14.951129,16
123,17.884455,19
124,55.621825,57
125,11.005681,12
126,15.001189,16
127,19.872925,21
128,33.847007,35
129,32.7547,34
130,38.796035,40
131,50.614564,52
132,13.91266,15
133,19.009007,20
134,31.764734,33
135,12.942155,14
136,12.0501,13
137,10.066375,11
138,10.973438,12
139,26.773589,28
140,25.930056,27
141,31.889039,33
142,38.748942,40
143,17.860294,19
144,119.233574,121
145,23.841819,25
146,32.828484,34
147,11.947816,13
148,25.891222,27
149,20.93066,22
150,42.702158,44
151,70.560336,72
152,36.808445,38
153,113.272796,115
154,10.94966,12
155,14.972028,16
156,71.620561,73
157,17.068084,18
158,17.924289,19
159,31.827938,33
160,39.726325,41
161,55.662952,57
162,65.727238,67
163,45.614706,47
164,50.780489,52
165,24.831046,26
166,31.780083,33
167,18.026095,19
168,19.021552,20
169,48.707161,50
170,44.711945,46
171,18.873572,20
172,59.542873,61
173,12.002564,13
174,24.839785,26
175,51.621838,53
176,35.777346,37
177,66.512356,68
178,13.938437,15
179,25.948861,27
180,36.774287,38
181,20.926506,22
182,62.544475,64
183,61.605021,63
184,36.795561,38
185,32.784207,34
186,51.756367,53
187,117.334753,119
188,28.876979,30
189,11.078038,12
190,13.893513,15
191,12.076491,13
192,37.705581,39
193,36.902556,38
194,46.663805,48
195,79.539519,81
196,19.978791,21
197,48.663812,50
198,39.699391,41
199,45.752581,47
200,25.920998,27
201,24.930392,26
202,59.620988,61
203,67.566277,69
204,17.954458,19
205,13.040841,14
206,19.030319,20
207,55.729081,57
208,16.027515,17
209,55.787431,57
210,16.967009,18
211,25.834489,27
212,17.865827,19
213,19.028964,20
214,56.817519,58
215,58.713169,60
216,66.560896,68
217,40.760938,42
218,16.989827,18
219,66.777991,68
220,63.616769,65
221,20.014061,21
222,66.507967,68
223,33.855426,35
224,12.993955,14
225,151.146283,153
226,86.604458,88
227,16.989105,18
228,67.548509,69
229,21.880211,23
230,16.024623,17
231,83.581346,85
232,11.022298,12
233,22.957352,24
234,49.767817,51
235,15.961092,17
236,19.963665,21
237,14.036559,15
238,49.779268,51
239,12.976794,14
240,65.624698,67
241,9.963532,11
242,13.033845,14
243,94.636685,96
244,59.775837,61
245,12.974757,14
246,91.62558,93
247,61.781789,63
248,11.971397,13
249,40.871708,42
250,91.586034,93
251,20.01788,21
252,17.954728,19
253,33.884266,35
254,18.935214,20
255,17.03813,18
256,15.047698,16
257,18.983805,20
258,15.963312,17
259,34.847029,36
260,13.051803,14
261,19.89669,21
262,14.925113,16
263,10.923435,12
264,16.030974,17
265,10.099723,11
266,15.063134,16
267,16.04815,17
268,73.490206,75
269,68.699947,70
270,14.073843,15
271,32.867424,34
272,19.973623,21
273,12.069568,13
274,10.973776,12
275,17.933562,19
276,10.948144,12
277,16.921307,18
278,9.997641,11
279,83.551835,85
280,36.792746,38
281,12.054342,13
282,20.005652,21
283,13.012446,14
