episode,reward,length
1,0.206169,149
2,-159.809086,100
3,11.018805,85
4,-324.235401,90
5,-74.014028,64
6,-102.283931,74
7,-73.419064,106
8,-170.490051,77
9,-94.123314,63
10,-132.777424,87
11,-99.19878,94
12,-284.433696,119
13,-193.431363,118
14,-420.708131,133
15,-242.280771,100
16,-43.170336,108
17,-202.418908,109
18,-146.477445,111
19,-182.382578,75
20,-333.164269,103
21,-146.887169,113
22,-345.41191,89
23,-298.51029,96
24,-197.421331,68
25,-121.609885,61
26,-247.038776,89
27,-115.277044,67
28,-106.11036,73
29,-96.990172,68
30,-313.310178,112
31,-252.888811,95
32,-130.949723,82
33,-182.156013,75
34,-58.759418,72
35,-188.429166,106
36,-79.681092,70
37,-191.709614,131
38,-213.371281,105
39,-331.991016,72
40,-240.177945,98
41,-326.070069,96
42,-271.073671,69
43,-101.05374,57
44,-350.237828,81
45,-368.288849,104
46,-18.041772,95
47,-306.707003,152
48,-109.366674,115
49,-80.370118,56
50,-96.365581,64
51,-164.458979,144
52,-155.488539,122
53,-66.308184,68
54,-478.837049,121
55,-88.668812,68
56,-162.814816,97
57,-79.153264,70
58,-386.626912,103
59,-72.928966,65
60,-113.27819,112
61,-371.503378,91
62,-85.936178,69
63,-172.771383,61
64,-128.274446,83
65,-265.59495,93
66,-120.135372,84
67,-321.699352,95
68,-121.708187,79
69,-224.301824,79
70,-46.413776,124
71,-98.922143,79
72,-107.63553,81
73,-135.927239,83
74,-119.082597,121
75,-331.527793,85
76,-126.613832,106
77,-85.271502,65
78,-183.373184,75
79,-352.969444,86
80,-221.906399,119
81,-339.975821,80
82,-144.154199,71
83,-258.310927,73
84,-161.573949,116
85,-78.372773,88
86,-97.881516,83
87,-89.470515,86
88,-256.815294,97
89,-91.557943,80
90,-276.46556,102
91,-107.210412,78
92,-130.048446,71
93,-83.377191,110
94,-231.617798,69
95,-98.525755,70
96,-51.541487,70
97,-153.664794,75
98,-249.59224,133
99,-111.997472,64
100,-80.506014,73
101,-160.550544,86
