episode,reward,length
1,0.0,100
2,0.0,100
3,0.0,100
4,0.0,100
5,0.226,86
6,0.0,100
7,0.0,100
8,0.0,100
9,0.0,100
10,0.361,71
11,0.0,100
12,0.0,100
13,0.0,100
14,0.0,100
15,0.0,100
16,0.0,100
17,0.433,63
18,0.0,100
19,0.0,100
20,0.0,100
21,0.0,100
22,0.721,31
23,0.0,100
24,0.577,47
25,0.397,67
26,0.0,100
27,0.0,100
28,0.0,100
29,0.478,58
30,0.0,100
31,0.0,100
32,0.397,67
33,0.0,100
34,0.289,79
35,0.613,43
36,0.0,100
37,0.829,19
38,0.19,90
39,0.0,100
40,0.676,36
41,0.91,10
42,0.0,100
43,0.1,100
44,0.892,12
45,0.0,100
46,0.0,100
47,0.712,32
48,0.676,36
49,0.0,100
50,0.298,78
51,0.721,31
52,0.451,61
53,0.604,44
54,0.487,57
55,0.739,29
56,0.433,63
57,0.0,100
58,0.541,51
59,0.172,92
60,0.0,100
61,0.496,56
62,0.0,100
63,0.0,100
64,0.37,70
65,0.667,37
66,0.478,58
67,0.0,100
68,0.649,39
69,0.487,57
70,0.613,43
71,0.0,100
72,0.244,84
73,0.0,100
74,0.784,24
75,0.847,17
76,0.676,36
77,0.901,11
78,0.145,95
79,0.469,59
80,0.793,23
81,0.82,20
82,0.0,100
83,0.631,41
84,0.361,71
85,0.289,79
86,0.523,53
87,0.874,14
88,0.0,100
89,0.0,100
90,0.703,33
91,0.505,55
92,0.217,87
93,0.0,100
94,0.136,96
95,0.289,79
96,0.856,16
97,0.568,48
98,0.55,50
99,0.0,100
100,0.0,100
101,0.0,100
102,0.721,31
103,0.0,100
104,0.0,100
105,0.649,39
106,0.0,100
107,0.811,21
108,0.73,30
109,0.46,60
110,0.0,100
111,0.487,57
112,0.352,72
113,0.0,100
114,0.0,100
115,0.586,46
116,0.253,83
117,0.0,100
118,0.0,100
119,0.0,100
120,0.685,35
121,0.0,100
122,0.0,100
123,0.1,100
124,0.559,49
125,0.577,47
126,0.856,16
127,0.0,100
128,0.199,89
129,0.0,100
130,0.0,100
131,0.757,27
132,0.199,89
133,0.73,30
134,0.649,39
135,0.127,97
136,0.0,100
137,0.0,100
138,0.631,41
139,0.82,20
140,0.586,46
141,0.658,38
142,0.766,26
143,0.73,30
144,0.136,96
145,0.793,23
146,0.172,92
147,0.784,24
148,0.352,72
149,0.64,40
150,0.613,43
151,0.559,49
152,0.0,100
153,0.0,100
154,0.352,72
155,0.613,43
156,0.0,100
157,0.0,100
158,0.262,82
159,0.0,100
160,0.0,100
161,0.0,100
162,0.559,49
163,0.172,92
164,0.577,47
165,0.469,59
166,0.0,100
167,0.865,15
168,0.325,75
169,0.523,53
170,0.73,30
171,0.703,33
172,0.0,100
173,0.838,18
174,0.712,32
175,0.586,46
176,0.676,36
177,0.0,100
178,0.802,22
179,0.928,8
180,0.757,27
181,0.0,100
182,0.793,23
183,0.0,100
184,0.352,72
185,0.856,16
186,0.739,29
187,0.406,66
188,0.0,100
189,0.478,58
190,0.1,100
191,0.0,100
192,0.415,65
193,0.0,100
194,0.0,100
195,0.0,100
196,0.0,100
197,0.712,32
198,0.0,100
199,0.919,9
200,0.0,100
201,0.757,27
202,0.0,100
203,0.0,100
204,0.253,83
205,0.694,34
206,0.613,43
207,0.91,10
208,0.505,55
209,0.0,100
210,0.0,100
211,0.154,94
212,0.0,100
213,0.676,36
214,0.577,47
215,0.217,87
216,0.694,34
217,0.442,62
218,0.64,40
219,0.829,19
220,0.0,100
221,0.0,100
222,0.262,82
223,0.73,30
224,0.802,22
