episode,reward,length
1,0.0,100
2,0.0,100
3,0.0,100
4,0.0,100
5,0.0,100
6,0.0,100
7,0.43299999999999994,63
8,0.0,100
9,0.0,100
10,0.3879999999999999,68
11,0.0,100
12,0.0,100
13,0.0,100
14,0.253,83
15,0.595,45
16,0.0,100
17,0.577,47
18,0.694,34
19,0.0,100
20,0.0,100
21,0.0,100
22,0.0,100
23,0.30699999999999994,77
24,0.577,47
25,0.127,97
26,0.262,82
27,0.7929999999999999,23
28,0.15400000000000003,94
29,0.0,100
30,0.748,28
31,0.0,100
32,0.775,25
33,0.748,28
34,0.10899999999999999,99
35,0.82,20
36,0.802,22
37,0.4059999999999999,66
38,0.0,100
39,0.0,100
40,0.4149999999999999,65
41,0.901,11
42,0.37,70
43,0.838,18
44,0.21699999999999997,87
45,0.244,84
46,0.631,41
47,0.21699999999999997,87
48,0.6579999999999999,38
49,0.3879999999999999,68
50,0.253,83
51,0.30699999999999994,77
52,0.856,16
53,0.883,13
54,0.883,13
55,0.0,100
56,0.19899999999999995,89
57,0.5589999999999999,49
58,0.838,18
59,0.3879999999999999,68
60,0.34299999999999997,73
61,0.712,32
62,0.856,16
63,0.766,26
64,0.253,83
65,0.865,15
66,0.91,10
67,0.2889999999999999,79
68,0.16299999999999992,93
69,0.784,24
70,0.901,11
71,0.18099999999999994,91
72,0.748,28
73,0.8109999999999999,21
74,0.865,15
75,0.748,28
76,0.946,6
77,0.8109999999999999,21
78,0.748,28
79,0.739,29
80,0.91,10
81,0.34299999999999997,73
82,0.847,17
83,0.2709999999999999,81
84,0.874,14
85,0.784,24
86,0.712,32
87,0.7929999999999999,23
88,0.919,9
89,0.784,24
90,0.766,26
91,0.901,11
92,0.9279999999999999,8
93,0.613,43
94,0.919,9
95,0.865,15
96,0.91,10
97,0.901,11
98,0.847,17
99,0.8109999999999999,21
100,0.847,17
101,0.883,13
102,0.865,15
103,0.892,12
104,0.8109999999999999,21
105,0.901,11
106,0.838,18
107,0.874,14
108,0.91,10
109,0.91,10
110,0.829,19
111,0.6759999999999999,36
112,0.757,27
113,0.757,27
114,0.892,12
115,0.6579999999999999,38
116,0.9279999999999999,8
117,0.712,32
118,0.883,13
119,0.883,13
120,0.9369999999999999,7
121,0.9369999999999999,7
122,0.0,100
123,0.91,10
124,0.892,12
125,0.757,27
126,0.946,6
127,0.865,15
128,0.775,25
129,0.9279999999999999,8
130,0.9279999999999999,8
131,0.91,10
132,0.0,100
133,0.9279999999999999,8
134,0.919,9
135,0.856,16
136,0.883,13
137,0.874,14
138,0.9369999999999999,7
139,0.892,12
140,0.919,9
141,0.838,18
142,0.946,6
143,0.874,14
144,0.865,15
145,0.82,20
146,0.919,9
147,0.775,25
148,0.8109999999999999,21
149,0.874,14
150,0.82,20
151,0.946,6
152,0.901,11
153,0.43299999999999994,63
154,0.883,13
155,0.892,12
156,0.946,6
157,0.856,16
158,0.892,12
159,0.919,9
160,0.865,15
161,0.847,17
162,0.856,16
163,0.739,29
164,0.7929999999999999,23
165,0.892,12
166,0.9279999999999999,8
167,0.865,15
168,0.901,11
169,0.856,16
170,0.9369999999999999,7
171,0.874,14
172,0.946,6
173,0.865,15
174,0.865,15
175,0.856,16
176,0.9369999999999999,7
177,0.91,10
178,0.883,13
179,0.919,9
180,0.919,9
181,0.883,13
182,0.82,20
183,0.847,17
184,0.901,11
185,0.919,9
186,0.82,20
187,0.901,11
188,0.883,13
189,0.874,14
190,0.946,6
191,0.919,9
192,0.874,14
193,0.9369999999999999,7
194,0.874,14
195,0.919,9
196,0.9369999999999999,7
