episode,reward,length
1,-10.055346,100
2,-10.626301,100
3,-2.322943,40
4,-11.083797,100
5,-10.348143,100
6,-2.509601,40
7,-10.220044,100
8,-10.889819,100
9,-10.629961,100
10,-1.855596,36
11,-0.071019,21
12,-5.497316,65
13,-9.982146,100
14,-5.227111,66
15,-10.326183,100
16,-9.923587,100
17,-7.852984,86
18,-8.963357,94
19,-5.69988,67
20,-10.812959,100
21,-10.446962,100
22,-10.392063,100
23,-9.876007,100
24,-10.886159,100
25,-4.005041,55
26,-2.86715,44
27,-10.74342,100
28,-9.828427,100
29,0.5397,16
30,-5.030601,62
31,-1.5609,33
32,-2.219831,39
33,-10.315203,100
34,-3.790231,51
35,-7.124514,80
36,-3.103286,47
37,-10.026066,100
38,1.25353,10
39,-10.505522,100
40,-3.257637,48
41,-10.242004,100
42,-7.263593,80
43,-0.409635,24
44,-5.219158,65
45,-10.176125,100
46,-6.890276,80
47,-7.749872,85
48,-6.56996,77
49,-4.427203,57
50,-5.744432,68
51,-3.426629,49
52,-7.036674,80
53,-10.337163,100
54,-6.754224,79
55,-7.796819,84
56,-10.293244,100
57,-2.77565,44
58,0.057713,20
59,-9.44295,100
60,-3.791497,53
61,-10.128545,100
62,-10.296904,100
63,-2.083779,38
64,-10.76904,100
65,-6.521748,76
66,-3.820144,52
67,-7.698,84
68,-10.395723,100
69,-10.227364,100
70,-6.42469,73
71,-6.561375,75
72,-1.630439,33
73,-7.67604,84
74,-8.451458,89
75,-2.646286,42
76,-10.359123,100
77,-10.68852,100
78,-2.252771,39
79,-10.468922,100
80,0.48114,16
81,-10.893479,100
82,-10.165145,100
83,0.378028,17
84,-2.124672,39
85,-1.521273,34
86,0.208404,19
87,-9.908947,100
88,-10.589701,100
89,-0.152171,22
90,-3.198445,47
91,-0.457847,25
92,-10.860539,100
93,-1.163725,30
94,-6.797511,78
95,-8.650361,91
96,-4.88357,61
97,-4.736538,60
98,-4.041007,54
99,-4.512015,58
100,-10.311543,100
101,-10.227364,100
102,-9.923587,100
103,-1.715251,34
104,-10.809299,100
105,-2.06182,38
106,-10.201744,100
107,-4.254551,56
108,-0.313843,23
109,0.727624,14
110,-10.809299,100
111,-10.029726,100
112,0.52872,16
113,-3.496801,50
114,1.003387,12
115,1.106499,11
116,-10.626301,100
117,-2.142339,38
118,-10.384743,100
119,-2.785997,43
120,-10.040706,100
121,-5.667573,68
122,-0.909922,28
123,-3.879969,54
124,-10.146845,100
125,-10.468922,100
126,-4.659679,60
127,-10.289584,100
128,-6.91829,78
129,-10.176125,100
130,-10.446962,100
131,-3.25827,49
132,-1.704904,35
133,-10.026066,100
134,-10.146845,100
135,-4.36069,56
136,-10.355463,100
137,-0.964821,28
138,-10.589701,100
139,-6.06172,72
140,-9.930907,100
141,-10.425002,100
142,-1.770784,35
143,-7.855379,84
144,-1.001421,28
145,-4.372303,57
146,-10.139525,100
147,-8.569209,90
148,-10.490882,100
149,-10.820279,100
150,-10.450622,100
151,-10.183444,100
152,-3.470548,49
153,-3.411356,48
154,-10.589701,100
155,-5.640687,66
156,1.382262,9
157,-6.730366,76
158,-0.80681,27
159,-10.450622,100
160,-10.468922,100
161,-2.06182,38
162,-9.103702,96
163,-11.321695,100
164,-10.549441,100
165,-4.460142,57
166,-6.269706,71
167,-10.801979,100
168,-10.446962,100
169,-10.600681,100
170,-10.545781,100
171,-10.476242,100
172,-10.468922,100
173,1.014367,12
174,-10.640941,100
175,-5.520541,67
176,-10.289584,100
177,-10.435982,100
178,-10.465262,100
179,-10.644601,100
180,-10.135865,100
181,-10.190764,100
182,-10.231024,100
183,-9.2867,96
184,-4.629766,59
185,-6.373451,73
186,-1.189345,30
187,-0.582286,25
188,-0.324823,23
189,-10.67754,100
190,-3.264325,47
191,-9.930907,100
192,-10.392063,100
193,-10.7178,100
194,-10.439642,100
195,-3.529741,50
196,-10.242004,100
197,-4.40827,56
198,1.24987,10
199,-6.679126,76
200,-10.523822,100
201,-10.366443,100
202,-6.752326,76
203,-10.154165,100
204,-10.095605,100
205,-2.930002,45
206,-4.640746,59
207,-10.992298,100
208,-10.461602,100
209,-2.712798,43
210,-7.21904,79
211,-1.358969,32
212,-1.122833,29
213,-4.316771,56
214,-10.168805,100
215,-10.662901,100
216,-10.205404,100
217,-5.861551,68
218,-1.266837,31
219,-2.513894,41
220,-10.589701,100
221,-10.260304,100
222,-2.381503,40
223,0.51042,16
224,-10.084625,100
225,0.48114,16
226,-10.252984,100
227,-10.66656,100
228,-1.759804,35
229,-9.153676,94
230,-10.183444,100
231,-10.523822,100
232,-10.845899,100
233,-4.695013,58
234,-10.337163,100
235,0.245004,19
236,-10.68852,100
237,-10.523822,100
238,-10.373763,100
239,-10.220044,100
240,-4.477809,56
241,-6.789558,77
242,-1.899515,36
243,-10.223704,100
244,-4.283198,55
245,-0.501767,25
246,-4.989709,61
247,-8.47771,90
248,-10.417683,100
249,-10.260304,100
250,-10.128545,100
251,-10.512842,100
252,-9.956526,100
253,-10.494542,100
254,-7.591228,83
255,-10.70682,100
256,-10.659241,100
257,0.49944,16
258,-3.074006,47
259,-10.018746,100
260,-5.923771,68
261,-10.311543,100
262,-10.095605,100
263,-10.443302,100
264,-6.369791,73
265,-10.304223,100
266,-8.716241,91
267,-10.963018,100
268,-2.473002,40
269,-10.176125,100
270,-10.091945,100
271,0.378028,17
272,-7.428924,81
273,-10.553101,100
274,-10.68486,100
275,-0.747617,26
276,-0.762257,26
277,-10.307883,100
278,1.121139,11
279,-10.864199,100
280,-5.533915,65
281,-9.029237,94
282,-10.190764,100
283,-10.575061,100
284,-10.183444,100
285,-10.216384,100
286,-10.618981,100
287,-10.904459,100
288,-10.823939,100
289,0.804483,14
290,-8.838285,93
291,0.285896,18
292,-0.435254,24
293,-10.501862,100
294,-5.979303,69
295,-1.156405,30
296,-0.644505,25
297,-7.171461,79
298,-0.383382,23
299,-10.113905,100
300,0.734944,14
301,-10.216384,100
302,-0.354102,23
303,-0.578626,25
304,-4.070287,54
305,-4.636454,58
306,-10.523822,100
307,-10.72512,100
308,-8.50699,90
309,-10.626301,100
310,-0.696378,26
311,-10.523822,100
312,-4.143487,54
313,-10.143185,100
314,-3.011154,46
315,-10.300564,100
316,-10.68852,100
317,-10.209064,100
318,-0.346782,23
319,-2.32597,39
320,-0.571306,25
321,-10.355463,100
322,-3.62856,50
323,0.282236,18
324,-10.549441,100
325,-10.377423,100
326,-2.164299,38
327,-10.886159,100
328,-10.245664,100
329,-10.651921,100
330,-4.45951,56
331,-10.315203,100
332,-1.193005,30
333,-2.274731,39
334,-3.172193,46
335,1.157738,11
336,-0.567646,25
337,-0.825109,27
338,0.138865,19
339,-2.145999,38
340,-0.876982,28
341,-10.216384,100
342,0.127885,19
343,-4.972042,62
344,-4.220346,54
345,-4.86161,61
346,-10.531142,100
347,-4.828038,60
348,-2.624326,42
349,-10.516502,100
350,-10.139525,100
351,-5.177633,63
352,-5.637027,66
353,-0.203411,22
354,-3.186832,46
355,-0.317503,23
356,0.642812,15
357,0.642812,15
358,-6.130627,71
359,0.164484,19
360,-10.604341,100
361,-7.24466,79
362,-4.301498,55
363,-0.365082,23
364,0.613532,15
365,1.132119,11
366,-10.113905,100
367,0.201084,19
368,0.760563,14
369,-3.363776,48
370,0.039413,20
371,0.650131,15
372,-4.029395,53
