episode,reward,length
1,-3.69,100
2,-4.08,100
3,-0.1125,40
4,-4.3925,100
5,-3.89,100
6,-0.24,40
7,-3.8025,100
8,-4.26,100
9,-4.0825,100
10,0.091,36
11,0.876,21
12,-1.5575,65
13,-3.64,100
14,-1.344,66
15,-3.875,100
16,-3.6,100
17,-2.559,86
18,-3.086,94
19,-1.638,67
20,-4.2075,100
21,-4.2,100
22,-3.92,100
23,-3.5675,100
24,-0.0185,39
25,-3.74,100
26,-1.115,60
27,-4.16,100
28,-3.535,100
29,1.1485,16
30,-1.3255,62
31,0.2055,33
32,-3.76,100
33,-0.1775,40
34,-3.8325,100
35,-3.745,100
36,-2.9745,93
37,-3.805,100
38,-3.595,100
39,-1.181,59
40,-2.292,83
41,-1.566,64
42,-4.0575,100
43,-2.4925,85
44,-2.5175,85
45,-3.9275,100
46,-4.2825,100
47,1.131,16
48,-1.27,60
49,-4.0625,100
50,-3.9175,100
51,-3.995,100
52,-1.573,67
53,-1.82,70
54,0.081,36
55,-0.1825,40
56,1.082,17
57,-0.658,52
58,-0.7395,53
59,-3.1775,100
60,-3.855,100
61,-3.6275,100
62,-4.1725,100
63,-1.459,66
64,-1.5115,66
65,1.0405,18
66,-3.9175,100
67,-3.8075,100
68,-1.1155,57
69,1.3155,13
70,-1.255,60
71,-0.773,52
72,-1.858,72
73,-3.8425,100
74,-3.8,100
75,-3.8775,100
76,-0.3285,44
77,-0.4015,46
78,-4.215,100
79,-3.7725,100
80,-0.8735,54
81,-3.65,100
82,-0.2495,43
83,1.009,19
84,-3.5925,100
85,-1.9045,73
86,0.336,31
87,1.5555,8
88,-3.1405,97
89,-4.27,100
90,-1.3935,64
91,-1.0465,56
92,-2.389,81
93,-0.3785,44
94,-4.0,100
95,-0.124,41
96,-4.2675,100
97,-3.8475,100
98,-3.88,100
99,-2.902,93
100,-3.95,100
101,-4.1875,100
102,-3.8275,100
103,-4.09,100
104,-2.9945,93
105,-3.421,99
106,-3.895,100
107,-3.835,100
108,-4.52,100
109,-4.0025,100
110,-4.2575,100
111,0.356,31
112,-4.0125,100
113,0.92,20
114,0.5205,28
115,-2.1505,77
116,-3.9175,100
117,-2.1645,78
118,-0.5045,48
119,0.964,19
120,-3.83,100
121,-3.765,100
122,1.077,17
123,0.165,35
124,0.2855,33
125,-4.3825,100
126,-4.005,100
127,-3.8,100
128,-0.8265,51
129,-3.78,100
130,-3.845,100
131,-3.7425,100
132,-3.965,100
133,-3.815,100
134,-3.98,100
135,-3.98,100
136,-4.1275,100
137,-4.4675,100
138,-3.0305,92
139,-4.2575,100
140,-3.7825,100
141,-3.765,100
142,-4.195,100
143,1.053,18
144,-2.7835,89
145,-3.7675,100
146,-0.8595,53
147,-3.9375,100
148,-4.19,100
149,-3.7925,100
150,-1.0755,57
151,-3.945,100
152,-3.186,94
153,0.8145,22
154,-1.8415,71
155,-3.895,100
156,-3.7,100
157,1.4085,11
158,-4.2675,100
159,-4.0775,100
160,-4.4575,100
161,-0.666,49
162,-1.5755,67
163,1.038,18
164,-0.2415,41
165,-3.85,100
166,-3.7,100
167,-3.97,100
168,-4.3675,100
169,-4.1925,100
170,-3.7825,100
171,-4.035,100
172,0.626,26
173,-3.37,100
174,-1.5395,68
175,-3.8225,100
176,-3.23,95
177,-4.215,100
178,0.704,24
179,-3.99,100
180,1.058,18
181,-0.571,49
182,-3.9675,100
183,-1.8795,73
184,-0.675,50
185,-4.05,100
186,-1.074,56
187,1.46,10
188,-2.0465,76
189,-4.01,100
190,-4.455,100
191,-4.0675,100
192,1.156,16
193,1.3495,12
194,-4.04,100
195,-1.332,63
196,-4.175,100
197,-4.21,100
198,-3.7575,100
199,-4.1625,100
200,-2.287,78
201,-4.09,100
202,-2.237,78
203,-3.87,100
204,1.293,13
205,1.1235,16
206,-3.77,100
207,1.401,11
208,-3.955,100
209,0.046,36
210,-3.9725,100
211,-4.2925,100
212,-3.78,100
213,-3.645,100
214,-3.9925,100
215,-3.6525,100
216,-3.7925,100
217,-4.355,100
218,-4.0025,100
219,-3.276,99
220,-3.8,100
221,1.23,15
222,-3.326,99
223,-0.832,53
224,1.725,5
225,-3.7825,100
226,-3.9725,100
227,-1.382,63
228,0.0235,36
229,-2.0505,77
230,0.1415,34
231,-4.1575,100
232,-3.8975,100
233,-3.4125,100
234,-4.0125,100
235,0.3135,31
236,-0.326,44
237,-3.895,100
238,-4.5775,100
239,-2.7265,86
240,-4.0875,100
241,-2.536,84
242,-1.5365,66
243,-4.515,100
244,-4.335,100
245,-3.4875,100
246,1.4575,10
247,-3.965,100
248,-3.87,100
249,-2.0435,74
250,-1.2425,60
251,-4.055,100
252,-3.9875,100
253,-0.3385,44
254,-4.1175,100
255,-3.78,100
256,1.445,10
257,-2.1705,77
258,-3.78,100
259,0.3375,30
260,0.797,22
261,-3.8025,100
262,-4.035,100
263,-3.855,100
264,-0.023,37
265,0.5485,26
266,-2.316,79
267,-0.5055,47
268,-2.0145,73
269,-2.6575,85
270,-0.2655,42
271,-3.8075,100
272,-4.0225,100
273,-2.0435,74
274,-4.04,100
275,-2.995,90
276,-4.0775,100
277,-3.815,100
278,-4.035,100
279,-0.439,46
280,-1.216,59
281,0.714,24
282,-2.3735,79
283,0.881,21
284,1.279,14
285,-2.607,83
286,-0.2715,41
287,-0.0735,39
288,-2.68,85
289,-1.8235,69
290,-3.7175,100
291,0.2395,32
292,-3.835,100
293,-1.482,63
294,-3.895,100
295,-0.755,50
296,-1.1595,58
297,0.1485,36
298,-4.4025,100
299,-4.1475,100
300,-3.8825,100
301,-3.8,100
302,-0.409,46
303,-4.045,100
304,-4.065,100
305,0.051,36
306,-2.8305,87
307,-0.1435,39
308,-3.82,100
309,-4.0125,100
310,-0.0355,37
311,-3.935,100
312,-4.29,100
313,-1.765,70
314,0.346,31
315,-3.84,100
316,-3.735,100
317,-4.3825,100
318,-3.735,100
