episode,reward,length
1,0.0,100
2,0.0,100
3,0.64,40
4,0.0,100
5,0.0,100
6,0.64,40
7,0.0,100
8,0.0,100
9,0.0,100
10,0.676,36
11,0.811,21
12,0.415,65
13,0.0,100
14,0.406,66
15,0.0,100
16,0.0,100
17,0.226,86
18,0.154,94
19,0.397,67
20,0.0,100
21,0.0,100
22,0.226,86
23,0.0,100
24,0.0,100
25,0.0,100
26,0.0,100
27,0.595,45
28,0.0,100
29,0.163,93
30,0.181,91
31,0.0,100
32,0.0,100
33,0.649,39
34,0.694,34
35,0.505,55
36,0.136,96
37,0.424,64
38,0.0,100
39,0.325,75
40,0.0,100
41,0.334,74
42,0.0,100
43,0.136,96
44,0.0,100
45,0.847,17
46,0.0,100
47,0.0,100
48,0.0,100
49,0.0,100
50,0.0,100
51,0.0,100
52,0.0,100
53,0.415,65
54,0.622,42
55,0.343,73
56,0.1,100
57,0.0,100
58,0.0,100
59,0.0,100
60,0.685,35
61,0.0,100
62,0.0,100
63,0.487,57
64,0.883,13
65,0.46,60
66,0.316,76
67,0.0,100
68,0.271,81
69,0.0,100
70,0.226,86
71,0.775,25
72,0.586,46
73,0.154,94
74,0.883,13
75,0.361,71
76,0.172,92
77,0.577,47
78,0.0,100
79,0.109,99
80,0.649,39
81,0.469,59
82,0.874,14
83,0.127,97
84,0.0,100
85,0.424,64
86,0.0,100
87,0.289,79
88,0.0,100
89,0.109,99
90,0.712,32
91,0.0,100
92,0.631,41
93,0.0,100
94,0.577,47
95,0.694,34
96,0.559,49
97,0.0,100
98,0.0,100
99,0.793,23
100,0.478,58
101,0.0,100
102,0.586,46
103,0.595,45
104,0.613,43
105,0.901,11
106,0.0,100
107,0.739,29
108,0.0,100
109,0.604,44
110,0.0,100
111,0.0,100
112,0.478,58
113,0.0,100
114,0.0,100
115,0.154,94
116,0.469,59
117,0.577,47
118,0.658,38
119,0.712,32
120,0.658,38
121,0.0,100
122,0.0,100
123,0.0,100
124,0.622,42
125,0.856,16
126,0.172,92
127,0.73,30
128,0.0,100
129,0.0,100
130,0.19,90
131,0.0,100
132,0.532,52
133,0.712,32
134,0.0,100
135,0.0,100
136,0.0,100
137,0.316,76
138,0.0,100
139,0.442,62
140,0.154,94
141,0.0,100
142,0.325,75
143,0.676,36
144,0.397,67
145,0.0,100
146,0.352,72
147,0.748,28
148,0.397,67
149,0.0,100
150,0.0,100
151,0.586,46
152,0.0,100
153,0.0,100
154,0.73,30
155,0.523,53
156,0.37,70
157,0.0,100
158,0.0,100
159,0.73,30
160,0.0,100
161,0.856,16
162,0.0,100
163,0.622,42
164,0.397,67
165,0.487,57
166,0.226,86
167,0.0,100
168,0.0,100
169,0.685,35
170,0.0,100
171,0.532,52
172,0.0,100
173,0.0,100
174,0.0,100
175,0.424,64
176,0.928,8
177,0.748,28
178,0.667,37
179,0.0,100
180,0.235,85
181,0.0,100
182,0.0,100
183,0.0,100
184,0.46,60
185,0.469,59
186,0.0,100
187,0.0,100
188,0.0,100
189,0.0,100
190,0.0,100
191,0.631,41
192,0.0,100
193,0.739,29
194,0.0,100
195,0.0,100
196,0.208,88
197,0.0,100
198,0.0,100
199,0.0,100
200,0.289,79
201,0.0,100
202,0.874,14
203,0.0,100
204,0.631,41
205,0.0,100
206,0.0,100
207,0.0,100
208,0.604,44
209,0.0,100
210,0.0,100
211,0.766,26
212,0.0,100
213,0.0,100
214,0.0,100
215,0.0,100
216,0.568,48
217,0.0,100
218,0.649,39
219,0.631,41
220,0.0,100
221,0.0,100
222,0.0,100
223,0.0,100
224,0.0,100
