agent,reward
DQN,0.91
DQN,0.91
DQN,0.541
DQN,0.955
DQN,0.955
DQN,0.955
DQN,0.955
DQN,0.955
DQN,0.955
DQN,0.955
DQN,0.955
DQN,0.955
DQN,0.955
DQN,0.955
DQN,0.802
DQN,0.928
DQN,0.901
DQN,0.955
DQN,0.955
DQN,0.955
DQN,0.955
DQN,0.955
DQN,0.955
DQN,0.955
DQN,0.955
DQN,0.379
DQN,0.955
DQN,0.955
DQN,0.955
DQN,0.955
DQN,0.946
DQN,0.955
DQN,0.946
DQN,0.955
DQN,0.955
DQN,0.0
DQN,0.955
DQN,0.955
DQN,0.955
DQN,0.955
DQN,0.955
DQN,0.955
DQN,0.955
DQN,0.865
DQN,0.955
DQN,0.946
DQN,0.955
DQN,0.955
DQN,0.955
DQN,0.946
DQN,0.937
DQN,0.955
DQN,0.955
DQN,0.937
DQN,0.946
DQN,0.955
DQN,0.874
DQN,0.955
DQN,0.955
DQN,0.955
DQN,0.955
DQN,0.928
DQN,0.955
DQN,0.955
DQN,0.946
DQN,0.937
DQN,0.955
DQN,0.955
DQN,0.928
DQN,0.955
DQN,0.955
DQN,0.955
DQN,0.955
DQN,0.955
DQN,0.955
DQN,0.937
DQN,0.955
DQN,0.955
DQN,0.955
DQN,0.955
DQN,0.946
DQN,0.955
DQN,0.784
DQN,0.955
DQN,0.955
DQN,0.955
DQN,0.496
DQN,0.946
DQN,0.955
DQN,0.955
DQN,0.955
DQN,0.955
DQN,0.838
DQN,0.946
DQN,0.955
DQN,0.955
DQN,0.955
DQN,0.955
DQN,0.955
DQN,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.937
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.928
Q-Learning,0.955
Q-Learning,0.946
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.946
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.946
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.937
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.937
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.91
Q-Learning,0.955
Q-Learning,0.946
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.946
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.937
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
Q-Learning,0.955
